"Wikipage disambiguates","Wikipage revision ID","Wikipage page ID","label"
"http://dbpedia.org/resource/Keeley_Hazell","595083170","23681579","Hazell"
"","678444599","22645112","Heather"
"http://dbpedia.org/resource/Helga_Anders","679744382","561126","Helga"
"","661789182","11310950","Heller (Familienname)"
"http://dbpedia.org/resource/Baron_Munchausen","667482332","501110","Hieronymus"
"","671193410","18843579","ひかり"
"","682708940","1183234","Hilary (name)"
"","682788269","12698389","Hunter (Name)"
"","668926152","7845327","Im (Korean surname)"
"http://dbpedia.org/resource/Brandon_Inge","680437699","425346","Inge"
"","683071998","11257775","Jacqueline"
"","677494030","17426894","Jane (Vorname)"
"","678095453","14094423","Jenny"
"","672413445","25899528","Jerome (given name)"
"","678011068","32806256","Jerry"
"http://dbpedia.org/resource/Jack_and_Jill_(nursery_rhyme)","676870113","540444","Jill"
"","624274414","31349637","Jin (Korean surname)"
"","672273425","4179511","Josephine (given name)"
"http://dbpedia.org/resource/Jubal_(Bible)","671562861","665650","Jubal"
"","681084453","26452545","Kale (name)"
