"bsbi no","latin name","english name"
"3","acer campestre","field maple"
"4","acer platanoides","norway maple"
"5","acer pseudoplatanus","sycamore"
"7","achillea millefolium","yarrow"
"9","achillea ptarmica","sneezewort"
"14","aconitum napellus","monkshood"
"16","actaea spicata","baneberry or herb christopher"
"19","adoxa moschatellina","moschatel or town hall clock"
"20","aegopodium podagraria","ground elder"
"2241","aesculus hippocastanum","horse chestnut"
"21","aethusa cynapium","fool�s parsley"
"22","agrimonia eupatoria","common agrimony"
"23","agrimonia procera","fragrant agrimony"
"35","agrostis canina","brown bent"
"36","agrostis gigantea","black bent"
"39","agrostis stolonifera","white bent"
"40","agrostis tenuis","fine bent"
"41","aira caryophyllea","silver hairgrass"
"42","aira praecox","small hairgrass"
"46","ajuga reptans","bugle"
"57","alchemilla filicaulis ssp. vestita","lady�s mantle"
"51","alchemilla glabra","lady�s mantle"
"58","alchemilla sp.","lady�s mantle"
"60","alchemilla xanthochlora","lady�s mantle"
"63","alisma plantago-aquatica","water plantain"
"64","alliaria petiolata","hedge garlic"
"68","allium oleraceum","field garlic"
"69","allium paradoxicum","ramsons or wild garlic"
"71","allium scorodoprasum","sand leek"
"75","allium ursinum","ramsons or wild garlic"
"77","alnus glutinosa","alder"
"82","alopecurus geniculatus","marsh foxtail"
"84","alopecurus myosuroides","slender foxtail"
"85","alopecurus pratensis","meadow foxtail"
"98","anacamptis pyramidalis","pyramidal orchid"
"99","anagallis arvensis","scarlet pimpernel"
"100","anagallis tenella","bog pimpernel"
"1218","anchusa arvensis","bugloss"
"103","andromeda polifolia","bog rosemary"
"105","anemone nemorosa","wood anemone"
"109","angelica sylvestris","angelica"
"110","anisantha diandra","great brome (bromus sterilis)"
"113","anisantha sterilis","barren brome (bromus sterilis)"
"116","antennaria dioica","mountain everlasting"
"117","anthemis arvensis","corn chamomile"
"118","anthemis cotula","stinking chamomile"
"121","anthoxanthum odoratum","sweet vernal grass"
"123","anthriscus caucalis","bur chervil"
"125","anthriscus sylvestris","cow parsley"
"126","anthyllis vulneraria","kidney vetch"
"131","aphanes arvensis","parsley piert"
"137","apium nodiflorum","fool�s watercress"
"141","aquilegia vulgaris","columbine"
"142","arabidopsis thaliana","thale cress"
"146","arabis hirsuta","hairy rock-cress"
"152","arctium minus","burdock"
"161","arenaria serpyllifolia","thyme-leaved sandwort"
"167","armoracia rusticana","horseradish"
"169","arrhenatherum elatius","false oat"
"170","artemesia absinthium","wormwood"
"175","artemesia vulgaris","mugwort"
"176","arum maculatum","cuckoo pint or lords and ladies"
"185","asplenium adiantum-nigrum","black spleenwort"
"192","asplenium ruta-muraria","wall rue"
"194","asplenium trichomanes","common spleenwort"
"211","athyrium filix-femina","lady fern"
"218","atriplex patula","orache"
"214","atriplex prostrata","spear-leaved orache"
"219","atropa bella-donna","deadly nightshade"
"220","avena fatua","wild oat"
"225","ballota nigra","black horehound"
"229","barbarea vulgaris","wintercress"
"231","bellis perennis","daisy"
"232","berberis vulgaris","barberry"
"234","berula erecta","lesser water parsnip"
"239","betula pendula","silver birch"
"2301","betula pendula � pubescens (b. � aurata)","hybrid birch"
"240","betula pubescens","downy birch"
"0.001","betula sp.","birch"
"244","blechnum spicant","hard fern"
"245","blysmus compressus","flat sedge"
"247","borago officinalis","borage"
"248","botrychium lunaria","moonwort"
"249","brachypodium pinnatum","tor-grass"
"250","brachypodium sylvaticum","slender false brome"
"251","brassica napus","rape"
"252","brassica nigra","black mustard"
"256","briza media","quaking grass"
"263","bromopsis erecta","upright brome (bromus erectus)"
"272","bromopsis ramosa","hairy brome (bromus ramosus)"
"269","bromus hordeaceus","soft brome (bromus mollis)"
"273","bromus secalinus","rye brome"
"276","bryonia dioica","white bryony"
"292","calamagrostis canescens","purple small reed"
"293","calamagrostis epigejos","bush grass"
"2249","callitriche agg.","starwort"
"309","calluna vulgaris","ling"
"310","caltha palustris","marsh marigold or kingcup"
"311","calystegia sepium","hedge bindweed"
"313","calystegia sylvatica","large bindweed"
"315","campanula glomerata","clustered bellflower"
"316","campanula latifolia","greater bellflower"
"322","campanula rotundifolia","harebell"
"325","capsella bursa-pastoris","shepherd�s purse"
"327","cardamine amara","large bittercress"
"328","cardamine flexuosa","wavy bittercress"
"329","cardamine hirsuta","hairy bittercress"
"331","cardamine pratensis","milkmaid cuckoo-flower or lady�s smock"
"335","carduus crispus","welted thistle"
"337","carduus nutans","musk thistle"
"339","carduus tenuiflorus","slender thistle"
"341","carex acutiformis","pond sedge"
"350","carex binervis","moor sedge"
"355","carex caryophyllea","spring sedge"
"359","carex curta","white sedge"
"364","carex digitata","fingered sedge"
"365","carex dioica","separate-headed sedge"
"367","carex disticha","brown sedge"
"370","carex echinata","star sedge"
"376","carex flacca","glaucous sedge"
"381","carex hirta","hairy sedge"
"382","carex hostiana","tawny sedge"
"385","carex laevigata","smooth sedge"
"386","carex lasiocarpa","slender-leaved sedge"
"388","carex limosa","bog sedge"
"393","carex nigra","common sedge"
"396","carex otrubae","fox sedge"
"397","carex ovalis","oval sedge"
"399","carex pallescens","pale sedge"
"400","carex panicea","carnation sedge"
"401","carex paniculata","tussock sedge"
"402","carex pauciflora","few-flowered sedge"
"404","carex pendula","drooping sedge"
"405","carex pilulifera","pill sedge"
"408","carex pulicaris","flea sedge"
"412","carex remota","remote sedge"
"413","carex riparia","great pond sedge"
"414","carex rostrata","bottle sedge"
"357","carex spicata","spiked sedge"
"421","carex sylvatica","wood sedge"
"424","carex vesicaria","bladder sedge"
"419","carex viridula","yellow sedge"
"427","carlina vulgaris","carline thistle"
"428","carpinus betulus","hornbeam"
"432","castanea sativa","sweet chestnut"
"435","catapodium rigidum","fern grass (desmazeria rigida)"
"444","centaurea nigra","common knapweed"
"446","centaurea scabiosa","greater knapweed"
"451","centaurium erythraea","centaury"
"455","centranthus ruber","red valerian"
"461","cerastium arvense","field mouse-ear"
"467","cerastium fontanum","common mouse-ear"
"466","cerastium glomeratum","sticky mouse-ear"
"555","ceratocapnos claviculata","climbing corydalis"
"473","ceterach officinarum","rusty-back"
"474","chaenorhinum minus","small toadflax"
"476","chaerophyllum temulem","rough chervil"
"477","chamaenerion angustifolium","fireweed or rosebay willowherb"
"0","chara sp.","stonewort"
"480","chelidonium majus","greater celandine"
"482","chenopodium album","fat hen"
"484","chenopodium bonus-henricus","good king henry"
"496","chenopodium rubrum","red goosefoot"
"504","chrysanthemum segetum","corn marigold"
"505","chrysosplenium alternifolium","alternate-leaved golden saxifrage"
"506","chrysosplenium oppositifolium","opposite-leaved golden saxifrage"
"2381","cicerbita macrophylla","blue sowthistle"
"509","cichorium intybus","chicory"
"513","circaea lutetiana","enchanter�s nightshade"
"514","cirsium acaule","stemless thistle"
"515","cirsium arvense","creeping thistle"
"516","cirsium dissectum","meadow thistle"
"517","cirsium eriophorum","woolly thistle"
"518","cirsium heterophyllum","melancholy thistle"
"520","cirsium palustre","marsh thistle"
"522","cirsium vulgare","spear thistle"
"524","claytonia sibirica","pink purslane"
"530","clinopodium vulgare","wild basil"
"533","cochlearia danica","danish scurvygrass"
"537","coeloglossum viride","frog orchid"
"538","colchicum autumnale","meadow saffron"
"540","conium maculatum","hemlock"
"541","conopodium majus","pignut"
"543","convallaria majalis","lily of the valley"
"544","convolvulus arvensis","field bindweed"
"735","conyza canadensis","canadian fleabane"
"548","cornus sanguinea","dogwood"
"478","cornus suecica","dwarf cornel"
"551","coronopus didymus","lesser swinecress"
"4828","coronopus sp.","swinecress"
"552","coronopus squamatus","common swinecress"
"557","corylus avellana","hazel"
"560","cotoneaster horizontalis","cotoneaster"
"569","crataegus monogyna","hawthorn"
"571","crepis biennis","rough hawksbeard"
"572","crepis capillaris","smooth hawksbeard"
"576","crepis paludosa","marsh hawksbeard"
