"label","Geburtsort"
"Dan Bremnes","http://dbpedia.org/resource/British_Columbia"
"Dan Corson",""
"Dan Nwanyanwu","http://dbpedia.org/resource/Nigeria"
"Dan Sullivan (Arkansas politician)",""
"Daniel DeShaime","http://dbpedia.org/resource/Mont-Albert,_Quebec"
"Daniel F. Merriam","http://dbpedia.org/resource/Nebraska"
"Daniel Genis","http://dbpedia.org/resource/New_York_City"
"Daniel Kirkley",""
"Daniel Parker (artist)","http://dbpedia.org/resource/Oregon"
"Daniel Skye",""
"Daniela Carpio",""
"Danielle Taylor (musician)","http://dbpedia.org/resource/San_Diego"
"Danika Atchia","http://dbpedia.org/resource/Port_Louis"
"Danny Boy Styles","http://dbpedia.org/resource/Miami"
"Danny Jelaca",""
"Danny Zappin","http://dbpedia.org/resource/Columbus,_Ohio"
"Игнатенко, Данил Игоревич","http://dbpedia.org/resource/Zaporizhia"
"Darcy Michael",""
"Darius Brooks","http://dbpedia.org/resource/Chicago"
"Darrell Thorp",""
