"label","Wikipage page ID","Wikipage revision ID","Link from a Wikipage to an external page"
"COCERAL","45697302","682271744","http://www.coceral.com/"
"COMINT Consulting","46469184","665563689","http://www.comintconsulting.com/"
"CONtv","46474016","683930701","http://www.CONtv.com"
"CPN Cudis","46518118","666401199","http://www.cudis.co.uk"
"CRFU Cornwall Clubs Cup","46207634","",""
"CRFU Cornwall Cup","46194711","",""
"CRUISR","46956273","",""
"CSCBank SAL","46983648","681301409","http://www.cscgroup.com"
"CSLRA","47002805","682677490","http://www.cslra.in"
"CSM Suceava","","",""
"Centro Sportivo del Plebiscito Padova","46529243","659327873",""
"Cable 8 Productions","46441696","",""
"Cadet Sisters","45674127","681814236",""
"Cafe Bazaar","47767615","682043114","http://cafebazaar.ir"
"Cagle Cartoons","47308349","683420854","http://www.caglecartoons.com"
"Cake Maternity","46218217","660279067","https://www.cakematernity.com"
"California Reform Sex Offender Laws","46290142","674174075","http://californiarsol.org/"
"California University of Management and Sciences","46609182","",""
"California Women Lawyers","46512759","670742369","http://www.cwl.org"
"Call to Preserve","","",""
