"rank&nbsp;","name&nbsp;","date&nbsp;","&nbsp;"
"1","moses","13th cen. c.e.","&nbsp;"
"2","jesus of nazareth","ca. 4 b.c.e. - ca. 30 c.e.","&nbsp;"
"3","albert einstein","1879-1955","physicist"
"4","sigmund freud","1856-1936","psychiatrist"
"5","abraham","ca. 20th-19th cen b.c.e.; according to the bible    1813-1638 b.c.e.","&nbsp;"
"5","abraham","ca. 20th-19th cen b.c.e.; according to the bible    1813-1638 b.c.e.","&nbsp;"
"5","abraham","ca. 20th-19th cen b.c.e.; according to the bible    1813-1638 b.c.e.","NULL"
"6","saul of tarsus (saint paul)","4 - 64 c.e.","&nbsp;"
"7","karl marx","1818-1883","philosopher"
"8","theodor herzl","1860-1904","writer"
"9","mary","b. ca. 20 b.c.e.","&nbsp;"
"10","baruch de spinoza","1632-1677","philosopher"
"11","david","fl. 1000 b.c.e.","&nbsp;"
"12","anne frank","1929-1945","diarist"
"13","the prophets","biblical times","&nbsp;"
"14","judas iscariot","ca. 4 b.c.e. - ca. 30 c.e.","&nbsp;"
"15","gustav mahler","1860-1911","composer"
"16","maimonides","1135-1204","theologian"
"17","niels bohr","1885-1962","physicist"
"18","moses mendelssohn","1729-1786","philosopher"
"19","paul ehrlich","1854-1915","medical scientist"
"20","rashi","1040-1105","rabbinical commentator"
"21","benjamin disraeli","1804-1881","politician"
"22","franz kafka","1883-1924","author"
"23","david ben-gurion","1886-1973","founder of israel"
"24","hillel","ca. 70 b.c.e. - 10 c.e.","theologian"
"25","john von neumann","1903-1957","mathematician"
"26","simon bar kokhba","fl. 135 c.e.","general leader"
"27","marcel proust","1871-1922","novelist"
"28","mayer rothschild","1744-1812","financier"
"29","solomon","ca. 990 - ca. 933 b.c.e.","&nbsp;"
"30","heinrich heine","1797-1856","poet"
"31","selman waksman","1888-1973","developed antibiotics"
"32","giacomo meyerbeer","1791-1864","created grand opera"
"33","isaac luria","1534-1572","kabbalist"
"34","gregory pincus","1903-1967","developed birth control pill"
"35","leon trotsky","1879-1940","facilitator of the russian revolution"
"36","david ricardo","1772-1823","founded classical school of economics"
"37","alfred dreyfus","1859-1935","center of 1895 dreyfus affair in paris"
"38","leo szilard","1898-1964","physicist; cyberneticist"
"39","mark rothko","1903-1970","painter"
"40","ferdinand cohn","1828-1898","bacteriologist"
"41","samuel gompers","1850-1924","labor leader"
"42","gertrude stein","1874-1946","author"
"43","albert michelson","1852-1931","physicist"
"44","philo judaeus","ca. 20 b.c.e. - 40 c.e.","philosopher"
"45","golda meir","1898-1978","prime minister of israel"
"46","the vilna gaon","1720-1797","rabbinical scholar"
"47","henri bergson","1859-1941","philosopher"
"48","the baal shem tov","1700-1790","religious reformer"
"49","felix mendelssohn","1809-1847","musician"
"50","louis b. mayer","1885-1957","motion picture pioneer"
"51","judah halevy","ca. 1075-1141","philosopher and poet"
"52","haym salomon","1740-1785","revolutionary war patriot"
"53","johanan ben zakkai","ca. 80 c.e.","general leader"
"54","arnold schoenberg","1874-1951","composer"
"55","emile durkheim","1858-1917","sociologist"
"56","betty friedan","1921-2006","feminist; founder of now"
"57","david sarnoff","1891-1971","broadcaster"
"58","lorenzo da ponte","1749-1838","mozart's librettist"
"59","julius rosenwald","1862-1932","philanthropist"
"60","casimir funk","1884-1967","discoverer of vitamins"
"61","george gershwin","1898-1937","composer"
"62","chaim weizmann","1874-1952","first president of israel"
"63","franz boas","1858-1942","anthropologist"
"64","sabbatai zevi","1626-1676","religious leader"
"65","leonard bernstein","1918-1990","musician"
"66","flavius josephus","ca. 38-ca. 100 c.e.","historian"
"67","walter benjamin","1892-1940","literary critic journalist philosopher"
"68","louis brandeis","1856-1941","jurist"
"69","emile berliner","1851-1929","inventor"
"70","sarah bernhardt","1844-1923","actress"
"71","levi strauss","1829-1902","clothier"
"72","nahmanides","1195-1270","scholar"
"73","menachem begin","1913-1992","politician"
"74","anna freud","1895-1982","psychologist"
"75","queen esther","5th cen. b.c.e.","biblical queen"
"76","martin buber","1878-1965","philosopher theologian social activist"
"77","jonas salk","1914-1995","physician"
"78","jerome robbins","1918-1998","choreographer"
"79","henry kissinger","1923-","politician"
"80","wilhelm steinitz","ca. 1835-1900","chess champion"
"81","arthur miller","1915-2005","playwright"
"82","daniel mendoza","1764-1836","boxer"
"83","stephen sondheim","1930-","writer of musicals"
"84","emma goldman","1869-1940","anarchist feminist"
"85","sir moses montefiore","1787-1885","leader"
"86","jerome kern","1885-1945","writer of musicals"
"87","boris pasternak","1890-1960","novelist poet"
"88","harry houdini","1874-1926","magician"
"89","edward bernays","1981-","founder of public relations"
"90","leopold auer","1845-1930","violinist"
"91","groucho marx","1890-1977","comedian"
"92","man ray","1890-1976","artist"
"93","henrietta szold","1860-1945","founder of hadassah"
"94","benny goodman","1909-1986","clarinetist and bandleader"
"95","steven spielberg","1947-","filmmaker"
"96","marc chagall","1887-1985","painter"
"97","bob dylan","1941-","musician"
"98","sandy koufax","1935-","baseball player"
"99","bernard berenson","1865-1959","art critic"
"100","jerry siegel and joe shuster","b. 1914; 1914-1992","comics book artist/writer creators of superman"
