"label","death place","birth place"
"George William Symes","http://dbpedia.org/resource/Adelaide","http://dbpedia.org/resource/Dorset"
"Georgij Bulatsel","http://dbpedia.org/resource/Finland","http://dbpedia.org/resource/Russian_Empire"
"Gerald Goodfellow","",""
"Gilbert William Walenn","Prusce near Danzig",""
"Giles Hill","",""
"Gustav Bachmann","",""
"H. R. Amaraweera","",""
"Hein du Toit","",""
"هرتسي هليفي","",""
"Hugo Salmela","http://dbpedia.org/resource/Finland","http://dbpedia.org/resource/Parikkala"
"Ivan Lemmer","",""
"John Evelyn Anderson","",""
