"name:","footer_library"
"datatype:","marketingcontent"
"activityidentifier uniqueid:","0"
"activityidentifier name:",""
"campaignname:",""
"activityformat:",""
"activitypriority:","1"
"url link:",""
"marketing text:","&lt;div class=&#034;footercolumn&#034;&gt; &lt;h2&gt;outdoorsite library&lt;/h2&gt; &lt;ul&gt;  &lt;li&gt;&lt;a href=&#034;/webapp/wcs/stores/servlet/cfpagec?storeid=10151&amp;catalogid=10051&amp;langid=-1&#034;&gt;outdoorsite library home&lt;/a&gt;&lt;/li&gt;  &lt;li&gt;&lt;a href=&#034;/webapp/wcs/stores/servlet/cfpagec?storeid=10151&amp;catalogid=10051&amp;langid=-1&amp;mode=category&amp;cat=hunting&amp;cmid=olcontent_footer_hunting&#034;&gt;hunting library&lt;/a&gt;&lt;/li&gt;  &lt;li&gt;&lt;a href=&#034;/webapp/wcs/stores/servlet/cfpagec?storeid=10151&amp;catalogid=10051&amp;langid=-1&amp;mode=category&amp;cat=fishing&amp;cmid=olcontent_footer_fishing&#034;&gt;fishing library&lt;/a&gt;&lt;/li&gt;  &lt;li&gt;&lt;a href=&#034;/webapp/wcs/stores/servlet/cfpagec?storeid=10151&amp;catalogid=10051&amp;langid=-1&amp;mode=category&amp;cat=camping&amp;cmid=olcontent_footer_camping&#034;&gt;camping library&lt;/a&gt;&lt;/li&gt;  &lt;li&gt;&lt;a href=&#034;/webapp/wcs/stores/servlet/cfpagec?storeid=10151&amp;catalogid=10051&amp;langid=-1&amp;mode=category&amp;cat=boating&amp;cmid=olcontent_footer_boating&#034;&gt;boating library&lt;/a&gt;&lt;/li&gt;  &lt;li&gt;&lt;a href=&#034;/webapp/wcs/stores/servlet/cfpagec?storeid=10151&amp;catalogid=10051&amp;langid=-1&amp;template=video.cfm&amp;option=2&amp;cmid=olcontent_footer_video&#034;&gt;video library&lt;/a&gt;&lt;/li&gt;  &lt;li&gt;&lt;a href=&#034;/webapp/wcs/stores/servlet/cfpagec?storeid=10151&amp;catalogid=10051&amp;langid=-1&amp;appid=84&amp;cmid=olknots&#034;&gt;fishing knots library&lt;/a&gt;&lt;/li&gt;  &lt;li&gt;&lt;a href=&#034;http://forums.basspro.com/cgi-bin/ultimatebb.cgi&#034;&gt;talk forums&lt;/a&gt;&lt;/li&gt;  &lt;li&gt;&lt;a href=&#034;/webapp/wcs/stores/servlet/cfpagec?storeid=10151&amp;catalogid=10051&amp;langid=-1&amp;appid=90&#034;&gt;braggin&#039; board&lt;/a&gt;&lt;/li&gt;  &lt;li&gt;&lt;a href=&#034;/webapp/wcs/stores/servlet/cfpagec?storeid=10151&amp;catalogid=10051&amp;langid=-1&amp;appid=85&amp;cmid=olfishcalc&#034;&gt;fish calculators&lt;/a&gt;&lt;/li&gt;  &lt;li&gt;&lt;a href=&#034;/webapp/wcs/stores/servlet/cfpagec?storeid=10151&amp;catalogid=10051&amp;langid=-1&amp;appid=86&amp;cmid=ollakemaps&#034;&gt;online lake maps&lt;/a&gt;&lt;/li&gt;  &lt;li&gt;&lt;a href=&#034;/webapp/wcs/stores/servlet/cfpagec?storeid=10151&amp;catalogid=10051&amp;langid=-1&amp;appid=58&amp;cmid=olpostcards&#034;&gt;outdoor e-postcard&lt;/a&gt;&lt;/li&gt;  &lt;li&gt;&lt;a href=&#034;/webapp/wcs/stores/servlet/cfpagec?storeid=10151&amp;catalogid=10051&amp;langid=-1&amp;template=downloads.cfm&amp;cmid=olwallpapers&#034;&gt;outdoor wallpapers&lt;/a&gt;&lt;/li&gt;  &lt;li&gt;&lt;a href=&#034;/webapp/wcs/stores/servlet/cfpage?storeid=10151&amp;catalogid=10051&amp;langid=-1&amp;template=downloads.cfm&amp;mediatype=screensavers&amp;cmid=sitemap&#034;&gt;outdoor screensavers&lt;/a&gt;&lt;/li&gt;  &lt;/li&gt; &lt;/ul&gt;&lt;/div&gt;"
"location:",""
"format uniqueid:","2"
"format name:","text"
"content mime type:",""
"name:",""
"short description:",""
"image:",""
