"title","publisher","eu release date","au release date","pegi","acb"
"donkey kong country","nintendo","2006-12-08","2006-12-07","7","g"
"f-zero","nintendo","2006-12-08","2006-12-07","3","g"
"simcity","nintendo","2006-12-29","2006-12-29","3","g"
"super castlevania iv","konami","2006-12-29","2006-12-29","3","pg"
"street fighter ii: the world warrior","capcom","2007-01-19","2007-01-19","12","pg"
"super probotector: alien rebels","konami","2007-01-19","2007-01-19","12","pg"
"super mario world","nintendo","2007-02-09","2007-02-09","3","g"
"r-type iii: the third lightning","irem","2007-02-16","2007-02-16","7","g"
"super ghouls'n ghosts","capcom","2007-03-09","2007-03-09","7","pg"
"the legend of zelda: a link to the past","nintendo","2007-03-23","2007-03-23","7","pg"
"the legend of the mystical ninja","konami","2007-03-30","2007-03-30","7","pg"
"actraiser","square enix","2007-04-13","2007-04-13","7","pg"
"final fight","capcom","2007-04-27","2007-04-27","12","pg"
"donkey kong country 2: diddy's kong quest","nintendo","2007-05-16","2007-05-16","3","g"
"kirby's dream course","nintendo","2007-06-29","2007-06-29","3","g"
"street fighter ii' turbo: hyper fighting","capcom","2007-07-20","2007-07-20","12","pg"
"kirby's ghost trap","nintendo","2007-07-27","2007-07-27","3","g"
"breath of fire ii","capcom","2007-08-10","2007-08-10","7","g"
"vegas stakes","nintendo","2007-08-31","2007-08-31","12","pg"
"mario's super picross (900 wii points)","nintendo","2007-09-14","2007-09-14","3","g"
"gradius iii (900 wii points)","konami","2007-09-28","2007-09-28","7","g"
"axelay","konami","unreleased","2007-10-12","7","g"
"super metroid","nintendo","2007-10-12","2007-10-12","7","pg"
"cybernator","hudson soft","2007-12-07","2007-12-07","7","pg"
"donkey kong country 3: dixie kong's double trouble!","nintendo","2007-12-25","2007-12-25","3","g"
"harvest moon","natsume","2008-01-04","2008-01-04","3","g"
"super street fighter ii: the new challengers","capcom","2008-01-25","2008-01-25","12","pg"
"super turrican","factor 5","2008-02-29","2008-02-29","7","pg"
"super r-type","irem","2008-03-14","2008-03-14","7","g"
"pac-attack","namco bandai games","2008-06-27","2008-06-27","3","g"
"super mario rpg: legend of the seven stars (900 wii points)","nintendo","2008-08-22","2008-08-22","3","g"
"doremi fantasy: milon's dokidoki adventure (900 wii points)","hudson soft","2008-09-05","2008-09-05","3","g"
"space invaders: the original game","taito","2008-11-28","2008-11-28","3","g"
"secret of mana","square enix","2008-12-26","2008-12-26","7","g"
"super punch-out!!","nintendo","2009-03-20","2009-03-20","12","g"
"ogre battle: the march of the black queen (900 wii points)","nintendo","2009-07-03","2009-07-03","7","pg"
"kirby's dream land 3 (900 wii points)","nintendo","2009-07-24","2009-07-24","3","g"
"pilotwings","nintendo","2009-08-21","2009-08-21","7","g"
"super star wars","lucasarts","2009-09-18","2009-09-18","7","pg"
"super star wars: the empire strikes back","lucasarts","2009-10-02","2009-10-02","7","pg"
"final fight 2","capcom","2009-10-09","2009-10-09","12","pg"
"super star wars: return of the jedi","lucasarts","2009-10-16","2009-10-16","7","pg"
"zombies","lucasarts","2009-10-30","2009-10-30","12","pg"
"street fighter alpha 2","capcom","2010-01-29","2010-01-29","12","pg"
"final fight 3","capcom","2010-02-05","2010-02-05","12","pg"
"super mario kart","nintendo","2010-04-02","2010-04-02","3","g"
"indiana jones' greatest adventures","lucasarts","2010-04-23","2010-04-23","12","pg"
"ghoul patrol","lucasarts","2010-05-14","2010-05-14","12","pg"
"kirby's fun pak","nintendo","2010-05-28","2010-05-28","3","g"
"final fantasy ii (900 wii points)","square enix","2010-06-11","2010-06-11","7","pg"
"aero the acro-bat","sunsoft","2010-07-23","2010-07-23","3","g"
"aero the acro-bat 2","sunsoft","2010-08-06","2010-08-06","3","g"
"wild guns","natsume","2010-08-13","2010-08-13","12","pg"
"mystic quest legend","square enix","2010-09-24","2010-09-24","7","g"
"rival turf!","jaleco","2010-10-08","2010-10-08","12","pg"
"super e.d.f.: earth defense force","jaleco","2010-10-29","2010-10-29","7","g"
"super bonk (900 wii points)","hudson soft","2010-12-10","2010-12-10","3","g"
"natsume championship wrestling (900 wii points)","natsume","2011-02-18","2011-02-18","12","pg"
"final fantasy iii (900 wii points)","square enix","2011-03-18","2011-03-18","7","pg"
"brawl brothers","jaleco","2011-04-01","2011-04-01","12","pg"
"the ignition factor (900 wii points)","jaleco","2011-04-29","2011-04-29","7","pg"
"super adventure island","hudson soft","2011-05-13","2011-05-13","3","g"
"chrono trigger (900 wii points)","square enix","2011-05-20","2011-05-20","12","pg"
"super adventure island ii","hudson soft","2011-06-10","2011-06-10","3","g"
"prince of persia","ubisoft","2012-01-19","2012-01-19","12","pg"
