"common                name","scientific name","family"
"great tinamou","tinamus major","tinamidae"
"little tinamou","crypturellus soui","tinamidae"
"black-bellied                whistling-duck","dendrocygna autumnalis","anatidae"
"muscovy duck","cairina moschata","anatidae"
"blue-winged teal","anas discors","anatidae"
"gray-headed chachalaca","ortalis cinereiceps","cracidae"
"crested guan","penelope purpurascens","cracidae"
"great curassow","crax rubra","cracidae"
"crested bobwhite","colinus cristatus","odontophoridae"
"marbled wood-quail","odontophorus gujanensis","odontophoridae"
"least grebe","tachybaptus dominicus","podicipedidae"
"brown booby","sula leucogaster","sulidae"
"brown pelican","pelecanus occidentalis","pelecanidae"
"neotropic cormorant","phalacrocorax brasilianus","phalacrocoracidae"
"anhinga&nbsp;","anhinga anhinga","anhingidae"
"magnificent frigatebird","fregata magnificens","fregatidae"
"least bittern","ixobrychus exilis","ardeidae"
"bare-throated tiger-heron","tigrisoma mexicanum","ardeidae"
"great blue heron","ardea herodias","ardeidae"
"great egret","ardea alba","ardeidae"
"snowy egret","egretta thula","ardeidae"
"little blue heron","egretta caerulea","ardeidae"
"tricolored heron","egretta tricolor","ardeidae"
"reddish egret","egretta rufescens","ardeidae"
"cattle egret","bubulcus ibis","ardeidae"
"green heron","butorides virescens","ardeidae"
"black-crowned night-heron","nycticorax nycticorax","ardeidae"
"yellow-crowned night-heron","nyctanassa violacea","ardeidae"
"boat-billed heron","cochlearius cochlearius","ardeidae"
"white ibis","eudocimus albus","threskiornithidae"
"roseate spoonbill","platalea ajaja","threskiornithidae"
"wood stork","mycteria americana","ciconiidae"
"black vulture","coragyps atratus","cathartidae"
"turkey vulture","cathartes aura","cathartidae"
"king vulture","sarcoramphus papa","cathartidae"
"osprey&nbsp;","pandion haliaetus","accipitridae"
"gray-headed kite","leptodon cayanensis","accipitridae"
"swallow-tailed kite","elanoides forficatus","accipitridae"
"pearl kite","gampsonyx swainsonii","accipitridae"
"white-tailed kite","elanus leucurus","accipitridae"
"double-toothed kite","harpagus bidentatus","accipitridae"
"plumbeous kite","ictinia plumbea","accipitridae"
"sharp-shinned hawk","accipiter striatus","accipitridae"
"crane hawk","geranospiza caerulescens","accipitridae"
"white hawk","leucopternis albicollis","accipitridae"
"common black-hawk","buteogallus anthracinus","accipitridae"
"roadside hawk","buteo magnirostris","accipitridae"
"broad-winged hawk","buteo platypterus","accipitridae"
"gray hawk","buteo nitidus","accipitridae"
"short-tailed hawk","buteo brachyurus","accipitridae"
"swainson's hawk","buteo swainsoni","accipitridae"
"zone-tailed hawk","buteo albonotatus","accipitridae"
"barred forest-falcon","micrastur ruficollis","falconidae"
"collared forest-falcon","micrastur semitorquatus","falconidae"
"crested caracara","caracara cheriway","falconidae"
"yellow-headed caracara","milvago chimachima","falconidae"
"laughing falcon","herpetotheres cachinnans","falconidae"
"bat falcon","falco rufigularis","falconidae"
"peregrine falcon","falco peregrinus","falconidae"
"white-throated crake","laterallus albigularis","rallidae"
"rufous-necked wood-rail","aramides axillaris","rallidae"
"gray-necked wood-rail","aramides cajanea","rallidae"
"purple gallinule","porphyrio martinica","rallidae"
"common moorhen","gallinula chloropus","rallidae"
"double-striped thick-knee","burhinus bistriatus","burhinidae"
"southern lapwing","vanellus chilensis","charadriidae"
"black-bellied plover","pluvialis squatarola","charadriidae"
"collared plover","charadrius collaris","charadriidae"
"snowy plover","charadrius alexandrinus","charadriidae"
"wilson's plover","charadrius wilsonia","charadriidae"
"semipalmated plover","charadrius semipalmatus","charadriidae"
"killdeer&nbsp;","charadrius vociferus","charadriidae"
"american oystercatcher","haematopus palliatus","haematopodidae"
"black-necked stilt","himantopus mexicanus","recurvirostridae"
"northern jacana","jacana spinosa","jacanidae"
"spotted sandpiper","actitis macularius","scolopacidae"
"solitary sandpiper","tringa solitaria","scolopacidae"
"wandering tattler","tringa incana","scolopacidae"
"greater yellowlegs","tringa melanoleuca","scolopacidae"
"willet&nbsp;","tringa semipalmata","scolopacidae"
"lesser yellowlegs","tringa flavipes","scolopacidae"
"whimbrel&nbsp;","numenius phaeopus","scolopacidae"
"ruddy turnstone","arenaria interpres","scolopacidae"
"sanderling&nbsp;","calidris alba","scolopacidae"
"semipalmated sandpiper","calidris pusilla","scolopacidae"
"western sandpiper","calidris mauri","scolopacidae"
"least sandpiper","calidris minutilla","scolopacidae"
"white-rumped sandpiper","calidris fuscicollis","scolopacidae"
"pectoral sandpiper","calidris melanotos","scolopacidae"
"dunlin&nbsp;","calidris alpina","scolopacidae"
"short-billed dowitcher","limnodromus griseus","scolopacidae"
"wilson's phalarope","phalaropus tricolor","scolopacidae"
"laughing gull","leucophaeus atricilla","laridae"
"franklin's gull","larus pipixcan","laridae"
"herring gull","larus argentatus","laridae"
"bridled tern","onychoprion anaethetus","laridae"
"gull-billed tern","gelochelidon nilotica","laridae"
"caspian tern","hydroprogne caspia","laridae"
"black tern","chlidonias niger","laridae"
"royal tern","thalasseus maximus","laridae"
"sandwich tern","thalasseus sandvicensis","laridae"
"elegant tern","thalasseus elegans","laridae"
"black skimmer","rynchops niger","laridae"
"rock pigeon","columba livia","columbidae"
"pale-vented pigeon","patagioenas cayennensis","columbidae"
