"Wikipage page ID","Wikipage revision ID","label","Link from a Wikipage to an external page"
"46297162","654637440","CEP Fleurus","http://www.cepfleurus.be/"
"","","DED Amsterdam",""
"47688934","683680778","Doxa Lefkadas B.C.","http://basketball.eurobasket.com/team/Greece/AE_Doxa_Lefkadas/11429"
"46278398","","SPM Shoeters Den Bosch",""
"46270476","678521438","Elliniko-Sourmena B.C.",""
"47972146","","Estudiantes Concordia",""
"47372586","682821627","Faros Keratsiniou B.C.",""
"47882470","683955196","Filippos Verias B.C.","http://www.filipposbc.gr"
"","","Forestville Eagles",""
"46814319","","Fundación Club Baloncesto Granada",""
"46331436","682566559","GSG Aarschot","http://www.gsga.be/index2.html"
"46410242","680803319","GS Agia Paraskevi",""
"46455388","666158507","Hatay Büyükşehir Belediyesi (deaf football)","http://www.hatay.bel.tr/"
"46619196","666411522","Hatay Büyükşehir Belediyesi (men's volleyball)","http://www.hatay.bel.tr/"
"47384182","673973967","KK Rogaška","http://www.kosarkarskiklub-rogaska.si/"
"47865097","683387845","Kymi B.C.",""
"46834698","683001478","Lavrio B.C.",""
"47994396","683649822","Liverpool Basketball Club","http://www.liverpoolbasketball.com/"
"","","Logan Thunder (QBL)",""
"45655745","675252956","Mládežnícky basketbalový klub Komárno","http://www.mbkkom.sk/svk/home"
