"Wikipage revision ID","Wikipage page ID","Link from a Wikipage to an external page","label"
"679281788","67075","http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=116581","Isoetes"
"","","","Lycopodiophyta"
"629856852","66973","","Lycopodiopsida"
"680146064","67049","","Selaginella"
"646315049","45268842","","Widlicz Isslera"
"","","","Huperzia lucidula"
"","","","Isoetes louisianensis"
"652797979","46182496","http://www.ars-grin.gov/cgi-bin/npgs/html/taxon.pl?412258","Selaginella substipitata"
"","","","Asteroxylon"
"","","","Drepanophycaceae"
"","","","Drepanophycales"
"","","","Drepanophycus"
"","","","Lepidodendrales"
"366899249","27651401","http://us.mirror.gbif.org/species/21660417/","Selaginella poulteri"
"366899240","27651400","http://us.mirror.gbif.org/species/15858737/","Selaginella pulcherrima"
"366899233","27651399","http://us.mirror.gbif.org/species/16081726/","Selaginella serpens"
"","","","Sigillaria"
"674218413","41549293","http://www.tropicos.org/ImageFullView.aspx?imageid=100010827","Isoetes caroliniana"
"","","","Isoetes eludens"
"597571922","42050373","http://samountainpasses.co.za/Home/WesternCape/Passes/WESTCOAST/GifbergPass/tabid/257/Default.aspx","Isoetes toximontana"
