"south africa october 2002","&nbsp;","&nbsp;"
"species","latin","lifer"
"southern african bird list","&nbsp;","&nbsp;"
"common ostrich","struthio camelus","&nbsp;"
"african penguin","spheniscus demersus","&nbsp;"
"great crested grebe","podiceps cristatus","&nbsp;"
"black-necked grebe","podiceps nigricollis","&nbsp;"
"little grebe","tachybaptus ruficollis","&nbsp;"
"black-browed albatross","thalassarche melanophris","&nbsp;"
"wandering albatross","&nbsp;","&nbsp;"
"great winged petrel","&nbsp;","&nbsp;"
"salvins albatross","&nbsp;","&nbsp;"
"shy albatross","thalassarche cauta","&nbsp;"
"atlantic yellow-nosed albatross","thalassarche chlororhynchos","&nbsp;"
"southern giant-petrel","macronectes giganteus","&nbsp;"
"northern giant-petrel","macronectes halli","&nbsp;"
"pintado petrel","daption capense","&nbsp;"
"white-chinned petrel","procellaria aequinoctialis","&nbsp;"
"great shearwater","puffinus gravis","&nbsp;"
"sooty shearwater","puffinus griseus","&nbsp;"
"wilson's storm-petrel","oceanites oceanicus","&nbsp;"
"black-bellied storm-petrel","fregetta tropica","&nbsp;"
"european storm-petrel","hydrobates pelagicus","&nbsp;"
"great white pelican","pelecanus onocrotalus","&nbsp;"
"cape gannet","morus capensis","&nbsp;"
"african darter","anhinga rufa","&nbsp;"
"reed cormorant","phalacrocorax africanus","&nbsp;"
"crowned cormorant","phalacrocorax coronatus","&nbsp;"
"bank cormorant","phalacrocorax neglectus","&nbsp;"
"white-breasted cormorant","phalacrocorax [c.] lucidus","&nbsp;"
"cape cormorant","phalacrocorax capensis","&nbsp;"
"little egret","egretta garzetta","&nbsp;"
"yellow-billed egret","egretta intermedia","&nbsp;"
"grey heron","ardea cinerea","&nbsp;"
"black-headed heron","ardea melanocephala","&nbsp;"
"goliath heron","ardea goliath","&nbsp;"
"purple heron","ardea purpurea","&nbsp;"
"cattle egret","bubulcus ibis","&nbsp;"
"squacco heron","ardeola ralloides","&nbsp;"
"green-backed heron","butorides striatus","&nbsp;"
"hamerkop","scopus umbretta","&nbsp;"
"yellow-billed stork","mycteria ibis","&nbsp;"
"african openbill","anastomus lamelligerus","&nbsp;"
"black stork","ciconia nigra","&nbsp;"
"abdim's stork","ciconia abdimii","&nbsp;"
"saddle-billed stork","ephippiorhynchus senegalensis","&nbsp;"
"marabou stork","leptoptilos crumeniferus","&nbsp;"
"glossy ibis","plegadis falcinellus","&nbsp;"
"hadeda ibis","bostrychia hagedash","&nbsp;"
"southern bald ibis","geronticus calvus","&nbsp;"
"african sacred ibis","threskiornis aethiopicus","&nbsp;"
"african spoonbill","platalea alba","&nbsp;"
"greater flamingo","phoenicopterus ruber","&nbsp;"
"lesser flamingo","phoenicopterus minor","&nbsp;"
"white-faced duck","dendrocygna viduata","&nbsp;"
"white-backed duck","thalassornis leuconotus","&nbsp;"
"maccoa duck","oxyura maccoa","&nbsp;"
"egyptian goose","alopochen aegyptiacus","&nbsp;"
"south african shelduck","tadorna cana","&nbsp;"
"spur-winged goose","plectropterus gambensis","&nbsp;"
"cape teal","anas capensis","&nbsp;"
"african black duck","anas sparsa","&nbsp;"
"yellow-billed duck","anas undulata","&nbsp;"
"cape shoveler","anas smithii","&nbsp;"
"red-billed teal","anas erythrorhyncha","&nbsp;"
"hottentot teal","anas hottentota","&nbsp;"
"southern pochard","netta erythrophthalma","&nbsp;"
"hooded vulture","necrosyrtes monachus","&nbsp;"
"white-backed vulture","gyps africanus","&nbsp;"
"cape vulture","gyps coprotheres","&nbsp;"
"lappet-faced vulture","torgos tracheliotus","&nbsp;"
"white-headed vulture","trigonoceps occipitalis","&nbsp;"
"black-shouldered kite","elanus caeruleus","&nbsp;"
"black kite","milvus migrans","&nbsp;"
"yellow-billed kite","milvus [m.] aegyptius","&nbsp;"
"verreaux's eagle","aquila verreauxii","&nbsp;"
"tawny eagle","aquila rapax","&nbsp;"
"steppe eagle","aquila nipalensis","&nbsp;"
"wahlberg's eagle","aquila wahlbergi","&nbsp;"
"african hawk-eagle","hieraaetus spilogaster","&nbsp;"
"booted eagle","hieraaetus pennatus","&nbsp;"
"martial eagle","polemaetus bellicosus","&nbsp;"
"long-crested eagle","lophaetus occipitalis","&nbsp;"
"african crowned eagle","stephanoaetus coronatus","&nbsp;"
"black-breasted snake-eagle","circaetus pectoralis","&nbsp;"
"brown snake-eagle","circaetus cinereus","&nbsp;"
"bateleur","terathopius ecaudatus","&nbsp;"
"african fish-eagle","haliaeetus vocifer","&nbsp;"
"forest buzzard","buteo trizonatus","&nbsp;"
"jackal buzzard","buteo rufofuscus","&nbsp;"
"little sparrowhawk","accipiter minullus","&nbsp;"
"ovambo sparrowhawk","accipiter ovampensis","&nbsp;"
"pale chanting goshawk","melierax canorus","&nbsp;"
"gabar goshawk","melierax gabar","&nbsp;"
"african goshawk","accipiter tachiro","&nbsp;"
"african marsh-harrier","circus ranivorus","&nbsp;"
"black harrier","circus maurus","&nbsp;"
"african harrier-hawk","polyboroides typus","&nbsp;"
"pygmy falcon","polihierax semitorquatus","&nbsp;"
"lesser kestrel","falco naumanni","&nbsp;"
"common kestrel","falco tinnunculus","&nbsp;"
"greater kestrel","falco rupicoloides","&nbsp;"
"crested francolin (incl. kirk's)","peliperdix sephaena","&nbsp;"
"grey-winged francolin","scleroptila africanus","&nbsp;"
"red-winged francolin","scleroptila levaillantii","&nbsp;"
"cape francolin","pternistes capensis","&nbsp;"
"natal francolin","pternistes natalensis","&nbsp;"
"red-necked spurfowl","pternistes afer","&nbsp;"
"swainson's spurfowl","pternistes swainsonii","&nbsp;"
"common quail","coturnix coturnix","&nbsp;"
"helmeted guineafowl","numida meleagris","&nbsp;"
"southern crowned crane","balearica regulorum","&nbsp;"
"blue crane","anthropoides paradisea","&nbsp;"
"african rail","rallus caerulescens","h"
"black crake","amaurornis flavirostra","&nbsp;"
"purple swamphen","porphyrio [p.] madagascariensis","&nbsp;"
"common moorhen","gallinula chloropus","&nbsp;"
"red-knobbed coot","fulica cristata","&nbsp;"
"stanley's bustard","neotis denhami","&nbsp;"
"ludwig's bustard","neotis ludwigii","&nbsp;"
"kori bustard","ardeotis kori","&nbsp;"
"red-crested korhaan","eupodotis ruficrista","&nbsp;"
"southern black korhaan","eupodotis afra","&nbsp;"
"karoo korhaan","eupodotis vigorsii","&nbsp;"
"blue korhaan","eupodotis caerulescens","&nbsp;"
"african black oystercatcher","haematopus moquini","&nbsp;"
"grey plover","pluvialis squatarola","&nbsp;"
"common ringed plover","charadrius hiaticula","&nbsp;"
"kittlitz's plover","charadrius pecuarius","&nbsp;"
"three-banded plover","charadrius tricollaris","&nbsp;"
"chestnut-banded plover","charadrius pallidus","&nbsp;"
"blacksmith lapwing","vanellus armatus","&nbsp;"
"white-crowned lapwing","vanellus albiceps","&nbsp;"
"african wattled lapwing","vanellus senegallus","&nbsp;"
"black-winged lapwing","vanellus melanopterus","&nbsp;"
"crowned lapwing","vanellus coronatus","&nbsp;"
"marsh sandpiper","tringa stagnatilis","&nbsp;"
"common greenshank","tringa nebularia","&nbsp;"
"wood sandpiper","tringa glareola","&nbsp;"
"common sandpiper","actitis hypoleucos","&nbsp;"
"ruddy turnstone","arenaria interpres","&nbsp;"
"red knot","calidris canutus","&nbsp;"
"little stint","calidris minuta","&nbsp;"
"curlew sandpiper","calidris ferruginea","&nbsp;"
"ruff","philomachus pugnax","&nbsp;"
"ethiopian snipe","gallinago nigripennis","&nbsp;"
"bar-tailed godwit","limosa lapponica","&nbsp;"
"common whimbrel","numenius phaeopus","&nbsp;"
"eurasian curlew","numenius arquata","&nbsp;"
"black-winged stilt","himantopus himantopus","&nbsp;"
"pied avocet","recurvirostra avosetta","&nbsp;"
"water thick-knee","burhinus vermiculatus","&nbsp;"
"collared pratincole","&nbsp;","&nbsp;"
"sanderling","&nbsp;","&nbsp;"
"white fronted plover","&nbsp;","&nbsp;"
"spotted thick-knee","burhinus capensis","&nbsp;"
"pomarine skua","&nbsp;","&nbsp;"
"parasitic jaeger","stercorarius parasiticus","&nbsp;"
"kelp gull","larus dominicanus","&nbsp;"
"grey-headed gull","larus cirrocephalus","&nbsp;"
"hartlaub's gull","larus hartlaubii","&nbsp;"
"caspian tern","sterna caspia","&nbsp;"
"swift tern","sterna bergii","&nbsp;"
"sandwich tern","sterna sandvicensis","&nbsp;"
"common tern","sterna hirundo","&nbsp;"
"arctic tern","sterna paradisaea","&nbsp;"
"white-winged tern","chlidonias leucopterus","&nbsp;"
"namaqua sandgrouse","pterocles namaqua","&nbsp;"
"speckled pigeon","columba guinea","&nbsp;"
"rameron pigeon","columba arquatrix","&nbsp;"
"cinnamon dove","aplopelia larvata","&nbsp;"
"laughing dove","streptopelia senegalensis","&nbsp;"
"african mourning dove","streptopelia decipiens","&nbsp;"
"cape turtle-dove","streptopelia capicola","&nbsp;"
"red-eyed dove","streptopelia semitorquata","&nbsp;"
"green spotted dove","turtur chalcospilos","&nbsp;"
"tambourine dove","turtur tympanistria","&nbsp;"
"namaqua dove","oena capensis","&nbsp;"
"african green-pigeon","treron calva","&nbsp;"
"cape parrot","poicephalus robustus","&nbsp;"
"brown-headed parrot","poicephalus cryptoxanthus","&nbsp;"
"knysna turaco","tauraco corythaix","&nbsp;"
"purple-crested turaco","musophaga porphyreolopha","&nbsp;"
"grey go-away-bird","corythaixoides concolor","&nbsp;"
"jacobin cuckoo","oxylophus jacobinus","&nbsp;"
"great spotted cuckoo","clamator glandarius","&nbsp;"
"red-chested cuckoo","cuculus solitarius","&nbsp;"
"african cuckoo","cuculus gularis","&nbsp;"
"klaas's cuckoo","chrysococcyx klaas","&nbsp;"
"diderick cuckoo","chrysococcyx caprius","&nbsp;"
"burchell's coucal","centropus burchelli","&nbsp;"
"african scops-owl","otus senegalensis","h"
"spotted eagle-owl","bubo africanus","&nbsp;"
"verreaux's eagle-owl","bubo lacteus","&nbsp;"
"african wood-owl","strix woodfordii","h"
"pearl-spotted owlet","glaucidium perlatum","&nbsp;"
"marsh owl","asio capensis","&nbsp;"
"mozambique nightjar","caprimulgus fossii","&nbsp;"
"bohm's spinetail","neafrapus boehmi","&nbsp;"
"african palm-swift","cypsiurus parvus","&nbsp;"
"alpine swift","apus melba","&nbsp;"
"african black swift","apus barbatus","&nbsp;"
"bradfield's swift","apus bradfieldi","&nbsp;"
"little swift","apus affinis","&nbsp;"
"white-rumped swift","apus caffer","&nbsp;"
"white-backed mousebird","colius colius","&nbsp;"
"speckled mousebird","colius striatus","&nbsp;"
"red-faced mousebird","urocolius indicus","&nbsp;"
"narina trogon","apaloderma narina","&nbsp;"
"malachite kingfisher","alcedo cristata","&nbsp;"
"brown-hooded kingfisher","halcyon albiventris","&nbsp;"
"striped kingfisher","halcyon chelicuti","&nbsp;"
"giant kingfisher","megaceryle maxima","&nbsp;"
"pied kingfisher","ceryle rudis","&nbsp;"
"white-fronted bee-eater","merops bullockoides","&nbsp;"
"little bee-eater","merops pusillus","&nbsp;"
"european bee-eater","merops apiaster","&nbsp;"
"lilac-breasted roller","coracias caudata","&nbsp;"
"purple roller","coracias naevia","&nbsp;"
"broad-billed roller","eurystomus glaucurus","&nbsp;"
"african hoopoe","upupa africana","&nbsp;"
"green wood-hoopoe","phoeniculus purpureus","&nbsp;"
"common scimitarbill","rhinopomastus cyanomelas","&nbsp;"
"red-billed hornbill","tockus erythrorhynchus","&nbsp;"
"southern yellow-billed hornbill","tockus leucomelas","&nbsp;"
"crowned hornbill","tockus alboterminatus","&nbsp;"
"african grey hornbill","tockus nasutus","&nbsp;"
"trumpeter hornbill","bycanistes bucinator","&nbsp;"
"southern ground-hornbill","bucorvus leadbeateri","&nbsp;"
"acacia pied barbet","tricholaema leucomelas","&nbsp;"
"black-collared barbet","lybius torquatus","&nbsp;"
"crested barbet","trachyphonus vaillantii","&nbsp;"
"greater honeyguide","indicator indicator","&nbsp;"
"bennett's woodpecker","campethera bennettii","&nbsp;"
"golden-tailed woodpecker","campethera abingoni","&nbsp;"
"ground woodpecker","geocolaptes olivaceus","&nbsp;"
"cardinal woodpecker","dendropicos fuscescens","&nbsp;"
"bearded woodpecker","dendropicos namaquus","&nbsp;"
"olive woodpecker","dendropicos griseocephalus","&nbsp;"
"red-throated wryneck","jynx ruficollis","&nbsp;"
"agulhas clapper lark","mirafra marjoriae","&nbsp;"
"karoo lark","certhilauda albescens","&nbsp;"
"red lark","certhilauda burra","&nbsp;"
"karoo long-billed lark","certhilauda [c.] subcoronata","&nbsp;"
"cape long-billed lark","certhilauda [c.] curvirostris","&nbsp;"
"agulhas long-billed lark","certhilauda [c.] brevirostris","&nbsp;"
"large-billed lark","galerida magnirostris","&nbsp;"
"fawn-coloured lark","mirafra africanoides","&nbsp;"
"red-capped lark","calandrella cinerea","&nbsp;"
"rudd's lark","heteromirafra ruddi","&nbsp;"
"botha's lark","spizocorys fringillaris","&nbsp;"
"sclater's lark","spizocorys sclateri","&nbsp;"
"stark's lark","eremalauda starki","&nbsp;"
"chestnut-backed sparrowlark","eremopterix leucotis","&nbsp;"
"black-eared sparrowlark","eremopterix australis","&nbsp;"
"grey-backed sparrowlark","eremopterix verticalis","&nbsp;"
"spike-heeled lark","chersomanes albofasciata","&nbsp;"
"red-breasted swallow","hirundo semirufa","&nbsp;"
"greater striped swallow","hirundo cucullata","&nbsp;"
"lesser striped swallow","hirundo abyssinica","&nbsp;"
"south african cliff-swallow","hirundo spilodera","&nbsp;"
"barn swallow","hirundo rustica","&nbsp;"
"wire-tailed swallow","hirundo smithii","&nbsp;"
"pearl-breasted swallow","hirundo dimidiata","&nbsp;"
"white-throated swallow","hirundo albigularis","&nbsp;"
"black saw-wing","psalidoprocne holomelaena","&nbsp;"
"blue swallow","hirundo atrocaerulea","&nbsp;"
"banded martin","riparia cincta","&nbsp;"
"brown-throated martin","riparia paludicola","&nbsp;"
"rock martin","hirundo fuligula","&nbsp;"
"grey-rumped swallow","pseudhirundo griseopyga","&nbsp;"
"fork-tailed drongo","dicrurus adsimilis","&nbsp;"
"black-headed oriole","oriolus larvatus","&nbsp;"
"cape crow","corvus capensis","&nbsp;"
"pied crow","corvus albus","&nbsp;"
"white-necked raven","corvus albicollis","&nbsp;"
