"label","Geburtsort","birth place"
"平牧仁","http://dbpedia.org/resource/Tokyo","Tokyo, Japan"
"Jo Hanson","",""
"Joan Carreras i Goicoechea","",""
"Joan Francesc Mira","http://dbpedia.org/resource/Valencia","València"
"Joan McKowen","",""
"Joanna Sawyer","http://dbpedia.org/resource/Bristol","http://dbpedia.org/resource/Bristol"
"Joanne Leedom-Ackerman","",""
"Jobeda Ali","http://dbpedia.org/resource/London_Borough_of_Tower_Hamlets","Tower Hamlets, London, England"
"Joe Kovacs (puppeteer)","http://dbpedia.org/resource/United_States","http://dbpedia.org/resource/United_States"
"Joe Magliocca","",""
"Joe Mettle","http://dbpedia.org/resource/Accra",""
"Joe Moore (musician)","http://dbpedia.org/resource/England","http://dbpedia.org/resource/England"
"Joe Pace (musician)","http://dbpedia.org/resource/Homestead,_Florida","http://dbpedia.org/resource/Homestead,_Florida"
"Joe Stevens","http://dbpedia.org/resource/New_York",""
"Joel Coleman","http://dbpedia.org/resource/Bolton","Bolton, England"
"Joel Orleans","http://dbpedia.org/resource/Accra",""
"Joel Rufino dos Santos","http://dbpedia.org/resource/Cascadura,_Rio_de_Janeiro","http://dbpedia.org/resource/Cascadura,_Rio_de_Janeiro"
"Joellyn Duesberry","",""
"Joey Alexander","http://dbpedia.org/resource/Bali",""
"Joey Haley","http://dbpedia.org/resource/New_Brunswick","http://dbpedia.org/resource/New_Brunswick"
