"trade name","active ingredients","pharmaceutical company"
"orthocynol","ash; cinchona; cynara leaves; java tea","rosa-phytopharma laboratoires"
"mediflor tisane hypotensive","ash; crataegus; fumitory; hamamelis; marrubium vulgare; mistletoe; olive; orange; red vine; senna","merck"
"artoxan","ash; devil's claw root; meadowsweet; silver birch","herbaline"
"mediflor tisane contre la constipation passagere no 7","ash; fennel; liquorice; rosemary; senna","merck"
"aromalgyl","ash; fleabane; java tea; maize; methenamine","plantes et medecines laboratoires"
"ayapon","ashok chhal; ayapan; godanti bhasma; jeevanti; kamboji; nagkesar","alarsin pharmaceuticals"
"mezica","ashwagandha extract; calcium; chromium; copper; folic acid; ginseng extract; iron (ferrous fumarate); manganese; molybdenum; phosphorus; selenium; vitamin a; vitamin b1; vitamin b12; vitamin b2; vitamin b3 (nicotinamide); vitamin b5 (calcium pantothenate); vitamin b6; vitamin c; vitamin d; vitamin e; vitamin h (biotin); zinc","ttk healthcare"
"pmensa","ashwagandha withania somnifera; kumari aloe barbadensis miller","lupin pharmaceuticals"
"30 plus","ashwagandha; ginseng","ranbaxy"
"hemofer","asiabell root; astragalus root; chinese angelica root; indian bread; liquorice root; rahmania root; sichuan rhizome","guangzhou pangaoshou pharmaceutical"
