"Wikipage revision ID","Wikipage page ID","country","Link from a Wikipage to an external page","label"
"675754565","47364866","US","http://www.carene.org","Care New England"
"","","","","Care World"
"","","","","Care and Relief Foundation"
"","47737162","","","Carinthians Soccer Women"
"","","","","Cassa di Risparmio della Spezia"
"","47959398","","","Carl F. Bucherer"
"","","","","Carlinville High School"
"682731883","45690004","","http://www.cyc.co.il","Carmel Sailing Community"
"683186185","47890522","","https://www.carprice.ru/","Carprice"
"","","","","Carrollton (band)"
"","","","","Carsforsale.com"
"661861525","45694601","","https://www.casinofloor.com","Casinofloor"
"654146416","46202260","","http://www.cataclean.com/","Cataclean Global"
"653378658","46195239","","http://www.foxsportspulse.com/assoc_page.cgi?client=1-8376-0-0-0&sID=314514&&news_task=DETAIL&articleID=26804167","Catholic Secondary Schoolgirls' Sports Association"
"","","","","Catholic University of Croatia"
"","","","","Católica Lisbon School of Business & Economics"
"676469386","46220754","","http://www.ceasefire.in/","Ceasefire Industries Ltd."
"","","","","Cedar Rapids Rampage"
"","47886198","","","Celeste High School"
"657299781","46416037","","http://celltrionhealthcare.com","Celltrion Healthcare"
