"Wikipage page ID","Wikipage revision ID","label","Link from a Wikipage to an external page"
"47763218","680172121","Soweto Cricket Oval","http://www.espncricinfo.com/southafrica/content/ground/59196.html"
"47932849","","Special Jurisdiction of the Armed Forces and Chaplaincy",""
"46327538","655315952","Spirit Lake (Price County, Wisconsin)","http://www.travelwisconsin.com/campgrounds/spirit-lake-campground-200607"
"46679738","661936066","Spring Creek Hatchery State Park","http://www.parks.wa.gov/587/Spring-Creek-Hatchery"
"46451074","657154229","Springfield School District 186","http://www.sps186.org/"
"","","Sri Baduga museum",""
"46873397","678326521","St.Philomena's Forane Church, Koonammavu","http://www.stphilomenaschurchkoonammavu.org"
"47923377","683569582","St. Anthony Hospital (Oklahoma City)",""
"46745695","671548869","St. Archangel Michael Serbian Orthodox Church (Toronto)",""
"46189695","683290471","St. James Episcopal Church (Richmond, Virginia)",""
"","","St. Joseph's Church, Yorkville (Manhattan)",""
"47739398","683469766","St. Joseph the Worker Church (Macau)",""
"","","St. Jude Church, Karanakodam",""
"","","St. Mary Catholic Church (Greensboro, North Carolina)",""
"46973388","677012815","St. Mary Roman Catholic Church (Eugene, Oregon)","http://www.stmaryeugene.com/"
"46859663","","St. Michel de Sillery Church, Quebec",""
"46706088","678280305","St Andrew's Church, Bere Ferrers",""
"46586304","670394343","St Andrew's Church, Cubley","http://standrewscubley.co.uk"
"","","St Andrew's Parish Church, Luqa",""
"46341854","671638002","St Andrew the Great","http://www.stag.org/"
