"species","no days","max no","sites"
"grey tinamou","1","h","al"
"great tinamou","6","1","almw"
"cinereous tinamou","4","h","almw"
"brown tinamou","4","h","cf"
"undulated tinamou","7","2","almw"
"black-capped tinamou","4","h","al"
"bartlett's tinamou","3","2","cfalmw"
"white-tufted grebe","1","5","hl"
"least grebe","1","5","mw"
"neotropic cormorant","4","20","mw"
"species","no days","max no","sites"
"anhinga","3","3","cfmw"
"horned screamer","4","3","almw"
"andean duck","1","10+","hl"
"orinoca goose","2","2","mw"
"muscovy duck","1","1","mw"
"torrent duck","2","10+","mp"
"speckled teal","2","30+","hlam"
"yellow-billed pintail","1","4","hl"
"puna teal","1","30+","hl"
"cinnamon teal","1","12+","hl"
"species","no days","max no","sites"
"little blue heron","1","1","hl"
"snowy egret","7","50+","hlalmw"
"cocoi(white-necked) heron","5","3","mw"
"great egret","6","10+","hlmw"
"cattle egret","1","1","hl"
"black-crowned night-heron","1","1","mp"
"fasciated tiger-heron","3","20","al"
"rufescent tiger-heron","3","2","almw"
"puna ibis","2","50","hlmp"
"green ibis","1","1","mw"
"species","no days","max no","sites"
"wood stork","4","20","mw"
"black vulture","8","20+","almw"
"turkey vulture","5","2+","almw"
"greater yellow-headed vulture","10","20+","almw"
"andean condor","1","1","am"
"king vulture","2","5+","mw"
"osprey","3","2","mw"
"grey-headed kite","1","2","mw"
"swallow-tailed kite","2","9","almw"
"double-toothed kite","3","2","almw"
"species","no days","max no","sites"
"plumbeous kite","9","20+","almw"
"cinereous harrier","1","2","hl"
"tiny hawk","1","1","al"
"crane hawk","1","1","mw"
"slate-coloured hawk","2","1","mw"
"white hawk","2","1","cfal"
"great black hawk","1","1","mw"
"black-chested buzzard-eagle","1","1","hl"
"roadside hawk","7","8+","cfalmw"
"white-throated hawk","1","1","pl"
"species","no days","max no","sites"
"variable hawk","2","2","hlhn"
"black hawk-eagle","1","1","mw"
"black-and-chestnut eagle","1","1","cf"
"black caracara","5","3","almw"
"red-throated caracara","2","5","almw"
"mountain caracara","4","4","hlhnam"
"laughing falcon","3","1","almw"
"lined forest-falcon","1","1+","al"
"american kestrel","5","6","hlhnmp"
"bat falcon","3","2","almw"
"species","no days","max no","sites"
"speckled chachalaca","1","1+","al"
"andean guan","4","4","plcfmp"
"spix's guan","3","4","almw"
"blue-throated piping-guan","6","4","almw"
"wattled guan","1","h","al"
"(razor-billed curassow)","1","1","boca manu tame bird"
"stripe-faced wood-quail","1","h","cf"
"starred wood-quail","1","h","mw"
"rufous-sided crake","4","2","almw"
"uniform crake","1","h","al"
"species","no days","max no","sites"
"grey-necked wood-rail","4","1+","almw"
"blackish rail","3","1","al"
"plumbeous rail","1","10+","hl"
"common moorhen","2","1","hlmw"
"andean coot","1","20+","hl"
"sungrebe","2","1","almw"
"sunbittern","2","1","almw"
"pale-winged trumpeter","2","6","almw"
"wattled jacana","2","10+","mw"
"andean snipe","1","h","pl"
"species","no days","max no","sites"
"greater yellowlegs","1","10","hl"
"lesser yellowlegs","1","1+","mw"
"spotted sandpiper","2","2","mw"
"pectoral sandpiper","1","1+","mw"
"collared plover","2","3","mw"
"pied lapwing","3","4","mw"
"andean lapwing","4","10+","hlhnmpam"
"andean gull","5","10+","hlhnmp"
"amazonian(yellow-billed) tern","6","12+","almw"
"large-billed tern","3","20+","mw"
"species","no days","max no","sites"
"black skimmer","4","4","mw"
"spot-winged pigeon","2","15+","hlhn"
"band-tailed pigeon","2","5","hncf"
"pale-vented pigeon","3","10+","mw"
"plumbeous pigeon","6","3","cfalmw"
"ruddy pigeon","1","1","mw"
"eared dove","2","1+","hlhn"
"black-winged ground-dove","1","2","hl"
"white-tipped dove","1","12+","ur"
"grey-fronted dove","2","2+","al"
"species","no days","max no","sites"
"white-throated quail-dove","1","h","mp"
"blue-and-yellow macaw","5","12+","mw"
"scarlet macaw","7","10+","almw"
"red-and-green macaw","7","50+","almw"
"chestnut-fronted macaw","9","10+","almw"
"red-bellied macaw","3","4","mw"
"blue-headed macaw","2","2","al"
"mitred parakeet","2","100+","mp"
"white-eyed parakeet","8","30+","cfalmw"
"dusky-headed parakeet","7","12+","almw"
"species","no days","max no","sites"
"golden-plumed parakeet","1","15","pl"
"painted parakeet","2","10+","mw"
"black-capped parakeet","1","15","mw"
"dusky-billed parrotlet","1","2","mw"
"cobalt-winged parrakeet","7","20+","almw"
"tui parakeet","2","10","mw"
"white-bellied parrot","2","15+","mw"
"orange-cheeked parrot","2","3","mw"
"blue-headed parrot","11","500","almw"
"speckle-faced parrot","4","12+","plcfmp"
"species","no days","max no","sites"
"yellow-crowned parrot","1","20","mw"
"scaly-naped parrot","2","2+","cf"
"mealy parrot","6","50+","almw"
"squirrel cuckoo","10","4","cfalmw"
"hoatzin","4","30+","almw"
"smooth-billed ani","3","10+","mw"
"rufescent screech-owl","1","1","cf"
"tawny-bellied screech-owl","7","1","almw"
"white-throated screech-owl","2","1","pl"
"crested owl","1","h","mw"
"species","no days","max no","sites"
"amazonian pygmy-owl","3","h","mw"
"yungas pygmy-owl","2","1+","pl"
"great potoo","1","1","al"
"grey(common) potoo","4","1+","al"
"sand-coloured nighthawk","3","30+","mw"
"pauraque","6","h","almw"
"ocellated poorwill","1","2","mw"
"silky-tailed nightjar","1","h","mw"
"ladder-tailed nightjar","1","1","mw"
"swallow-tailed nightjar","1","1","pl"
"species","no days","max no","sites"
