"Wikipage revision ID","Wikipage page ID","Link from a Wikipage to an external page","label"
"676872946","46792892","http://www.kristnavardepartiet.se","Christian Values Party (Sweden)"
"","","","Christopher High School"
"674128979","47366749","http://chromeriver.com","Chrome River Technologies"
"682857755","47907888","http://www.chrysaliscourses.co.uk/","Chrysalis Courses"
"683271562","47949313","http://www.csz.com.tw","Chuang Song Zong Pharmaceutical Co., Ltd."
"","","","Chula Vista FC"
"675627277","46416930","http://www.ccnet.com.tw","Chunghwa Int'l Communication Network"
"","","","Churchill Community College"
"654449671","46177911","http://cidewalk.com","Cidewalk"
"","","","Ciklum"
"683090868","45661682","http://cimpress.com","Cimpress"
"","","","Cincinnati Bengals Radio Network"
"663246177","46689950","http://www.cinemaparadiso.co.uk","Cinema Paradiso (company)"
"665198633","46817666","http://cinepapaya.com","Cinepapaya"
"676995214","47317819","http://circlecommerce.com","Circle Commerce"
"","46342277","","Citi FM (Ghana)"
"","46511129","","City College Peterborough"
"669086874","46566909","http://www.phila.gov/CITYPLANNING/Pages/default.aspx","City Planning Commission (Philadelphia)"
"683644286","47908870","http://cityh2o.com","City Water International"
"674613197","46401613","","Civic Renovation Party"
