"Wikipage page ID","Wikipage revision ID","label"
"47088978","674203482","Darling (magazine)"
"47498244","","Deepsheel Bharat"
"","","Derrière le miroir"
"45470536","","Diario de Navarra"
"","","Dimension W"
"47149081","674372837","Dopeness Magazine"
"47581036","","Ecological Complexity"
"","","El Socialista"
"45398316","","Energy Technology"
"45317740","","Environment International"
"","","Environs: Environmental Law and Policy Journal"
"","","Epigenetics & Chromatin"
"45416863","","Epigenomics (Zeitschrift)"
"47185780","682677366","EuroWeekly News"
"47079162","","Feminist Legal Studies"
"","","Feministische Studien"
"45575279","673897024","Fifth Wednesday Journal"
"","","Filmindia"
"","","For Such a Time"
"47636400","678080195","Forum Geometricorum"
