"label","Link from a Wikipage to an external page","Wikipage page ID","Wikipage revision ID"
"Bicknell Museum","http://www.iisl.it/Biblioteca%20Clarence%20Bicknell/Biblioteca%20Bicknell.htm","47785404","683136406"
"Big Island Mainland 93, Ontario","http://www.bigisland.ca/node/3","46754370","674001316"
"Bilari (Assembly constituency)","http://uplegisassembly.gov.in/default.htm","47727294","681473020"
"Biripali","http://balangir.nic.in","47888373","683432230"
"Block Island Wind Farm","http://www.4coffshore.com/windfarms/block-island-wind-farm-united-states-us12.html","46573163","680653954"
"Bokobá (municipio)","http://www.yucatan.gob.mx/estado/municipios/31009a.htm#","46926901","675411147"
"Bonneville House","http://www.bonnevillehouse.com/","46234828","682178412"
"Brentwood State Park","http://nysparks.com/parks/187/details.aspx","46886668","665411436"
"Broadway Plaza (Walnut Creek)","","46791124",""
"Bryan Museum","","46366371","667841822"
"Buchaly","http://w1.c1.rada.gov.ua/pls/z7503/A005?rdat1=27.04.2015&rf7571=19321","45704762","675259580"
"Buchi Lami","http://palamu.nic.in/block.html","47645789","678212198"
"Buddakan","","47894433",""
"Buduruwagala Museum","http://www.archaeology.gov.lk","47046537","670973246"
"Buffalo Harbor State Park","http://nysparks.com/parks/191/details.aspx","46394045","665412776"
"Bugalhos","http://freguesia-bugalhos.net/","46739279","662955948"
"Bulstrad Arena","","",""
"Burnaby Velodrome","http://burnabyvelodromeclub.ca","45647153","671035274"
"Burnpur Cricket Club Ground","","",""
"Bäcke Church","","46638594","661591860"
