"label","Wikipage page ID"
"Wiggle Honda","38625959"
"Sindicato de Empleados Publicos de San Juan","45545381"
"Team Felbermayr Simplon Wels","35699924"
"Fuerteventura-Canarias",""
"Atala (cycling team)","23476950"
"Topsport Vlaanderen-Baloise","7106032"
"Extremadura-Grupo Gallardo",""
"An Post-Chain Reaction","17126040"
"BKCP-Powerplus",""
"Contentpolis-AMPO",""
"Jelly Belly-Maxxis","17127821"
"Johan Bruyneel Cycling Academy",""
"Marco Polo Cycling Donckers Koffie",""
"Pezula Racing",""
"Symmetrics",""
"Team Joker","14434985"
"Équipe cycliste Specialized Designs For Women",""
"Telenet-Fidea",""
"Cervélo TestTeam",""
"RTS-Santic Racing Team","21204639"
