"Region","Official Name","Language","Countries","Local publishers","Registration Requirements"
"South Korea","???","Korean","&#160;South&#160;Korea","Bugs Corp.","A Korean Registration Number is required to play."
"Japan","Dancing Paradise","Japanese","Japan","NEXON Japan Co. Ltd.","A NEXON Passport is required to play."
"China","???","Simplified Chinese","China","9you.com","Chinese Identification Number is required."
"Philippines","Dance Battle Audition Philippines","English","Philippines","IP E-Games Ventures Inc.","e-Games Philippines account"
"South East Asia","AuditionSEA","English","Singapore  Malaysia and Thailand","AsiaSoft Online Pte Ltd.","A National ID (Identification Card) of any country is required."
"Thailand","Audition Online Dance Battle","Thai","Thailand","Asiasoft Corporation Co. Ltd.","Thailand identification number is required"
"Vietnam","Nh?p ?i?u cu?c s?ng","Vietnamese","Vietnam","VTC - Game Online","No registration requirements as of 9/12/06."
"Taiwan","???","Traditional Chinese","Taiwan","Insrea Game Center Corporation","Taiwanese Identification Number is required."
"Hong Kong","???","Traditional Chinese","Hong Kong","{9you.com|Gameone}","No Registration Requirements"
"North America","Online Dance Battle Audition","English","United States  Canada  Mexico and Central America","NEXON America Co. Ltd.","Nexon Passport is required. NOTE: North American IP's may access the game (others may not)."
"Indonesia","Audition AyoDance","Indonesian","Indonesia","PT Megaxus Infotech","No Registration Requirements"
"Brazil","Audition Online Dance Battle","Brazilian Portuguese","Brazil","Kaizen Games","No Registration Requirements"
"Europe","Audition Europe","{English|German|French|Spanish|Italian}","All European Countries","Burda:ic GmbH (alaplaya)","No Registration Requirements"
