"os","type","manufacturer","Wikipage revision ID","Wikipage page ID","Link from a Wikipage to an external page","developer","related","label"
"http://dbpedia.org/resource/Android_(operating_system)","http://dbpedia.org/resource/Smartphone","http://dbpedia.org/resource/Cherry_Mobile","680639205","47790772","http://cherrymobile.com.ph/flare-series","http://dbpedia.org/resource/Cherry_Mobile","http://dbpedia.org/resource/List_of_Cherry_Mobile_products","Cherry Mobile Flare"
"","","","683575813","47959180","http://consumer.huawei.com/minisite/worldwide/huawei-watch/index.htm","","","Huawei Watch"
"","","","683932446","47768517","http://www.apple.com/ipad-mini-4","","","IPad Mini 4"
"","","","655367104","45699734","http://iSmartAlarm.com","","","ISmartAlarm"
"","","","683895980","48004028","http://iTVmediaCenter.com","","","Itvmediacenter"
"","","","683856521","45647728","https://www.apple.com/macbook","","","全新MacBook"
"","","","683224606","45653634","http://microbit.co.uk","","","Micro Bit"
"","","","681678100","46194161","http://www.nodemcu.com","","","NodeMCU"
"","","","682723161","47655719","http://www.sonymobile.com/global-en/products/tablets/xperia-z3-tablet-compact/#tabs","","","Sony Xperia Z3 Tablet Compact"
"TrueOS","","","683329593","46810872","https://www.ixsystems.com/truenas","http://dbpedia.org/resource/IXsystems","","TrueNAS"
"","","","679676910","46199767","http://vocore.io","","","VoCore"
"","","","683747719","47246115","http://www.apple.com/ipod-touch/","","","IPod touch (6 поколения)"
"","","","683496609","45443161","http://www.nintendo.co.jp/3ds/index.html","","","任天堂3DS家系"
"","","","683568517","45495529","http://www.getpebble.com/","","","Pebble Time"
"","","","683518727","47289201","http://www.samsung.com/global/microsite/galaxytabs2/","","","Samsung Galaxy Tab S2"
"","","","677724746","45551660","http://www.sonymobile.com/global-en/products/tablets/xperia-z4-tablet/","","","Sony Xperia Z4 Tablet"
"","","","682169563","47439608","","","","Pavlok"
"","http://dbpedia.org/resource/Solar_cell_phone_charger","","674603729","47205252","","http://dbpedia.org/resource/NRG_Energy","","Street Charge"
"","5.25","http://dbpedia.org/resource/Apple_Inc.","675214847","47471735","","","","Apple Widget"
"","","","668712876","47077621","","http://dbpedia.org/resource/Intel","","Intellec"
