"Wikipage page ID","Wikipage revision ID","label"
"45655022","667468698","Garland/DFW Heloplex"
"47932279","683106426","Ometepe Airport"
"47893048","682611558","Rapla Airfield"
"47262219","683821980","Aeropuerto Internacional Baikal"
"47164838","670335699","Chehalis–Centralia Airport"
"47400367","675119196","Conway Municipal Airport"
"47499236","675707909","Aeropuerto La Araucanía"
"47579883","682968752","Flugplatz Lucca"
"45584269","","Massey Aerodrome"
"47127705","669485834","Mishawaka Pilots Club Airport"
"","",""
"47349189","673254250","Nassau Boulevard Airfield"
"47616186","680069537","Richard Downing Airport"
"895962","681284447","Air Force Base Waterkloof"
"3173913","683142271","Albany Airport (Western Australia)"
"","","Allah Valley Airport"
"","","Allama Iqbal International Airport"
"","","Ambanja Airport"
"","","Aeroporto di Ambilobe"
"","","Aeródromo Anduki"
