"land","stadt","stadion","gr��e","heimatverein"
"deutschland","aachen","tivoli (neu)","32.900","alemannia aachen"
"deutschland","aachen","tivoli (alt)","24.847","fr�her alemannia aachen"
"deutschland","aachen","sparkassenstadion","2.000","fr�her alemannia aachen am."
"deutschland","aachen","m�nzenbergkampfbahn","2.000","fr�her alemannia aachen am."
"deutschland","aalen","scholz-arena","11.000","vfr aalen"
"deutschland","ahlen","wersestadion","11.000","lr ahlen"
"deutschland","ahlen","nebenplatz wersestadion","1.000","lr ahlen am."
"deutschland","ahlen","s�denkampfbahn","5.000","fr�her lr ahlen am."
"deutschland","ahlen","sportpark nord","10.000","atsv ahlenahlener sg"
"deutschland","ahlerstedt","stadion am auetal","2.000","sv ahlerstedt/ottendorf"
"deutschland","aindling","stadion am schl�sselh�user kreuz","4.000","tsv aindling"
"deutschland","alfter","waldstadion","1.000","vfl alfter"
"deutschland","alzenau","st�dtisches stadion am prischo�","4.000","fc bayern alzenau"
"deutschland","ansbach","sportpark am stadion","5.150","spvg ansbach"
"deutschland","argenthal","waldstadion (asche)","1.500","gelegentlich tus jahn argenthal"
"deutschland","aschaffenburg","stadion am sch�nbusch","9.000","viktoria aschaffenburg"
"deutschland","aschheim","sportpark aschheim","3.000","fc aschheim fc bayern damen"
"deutschland","aspach-gro�aspach","sportplatz aspach-fautenhau","3.000","sg sonnenhof gro�aspach"
"deutschland","aue","erzgebirgsstadion","20.000","fc erzgebirge aue"
"deutschland","auerbach","vfb-stadion","5.000","vfb auerbach"
"deutschland","augsburg","impuls arena","30.660","fc augsburg"
"deutschland","augsburg","rosenaustadion","31.674","fr�her fc augsburg"
"deutschland","backnang","etzwiesensportfeld","10.000","tsg backnang"
"deutschland","bad breisig","rheintalstadion","2.500","sg bad breisig"
"deutschland","bad camberg-w�rges","rsv-sportpark goldener grund","2.500","rsv w�rges"
"deutschland","bad hersfeld-aspach","sportplatz asbach","2.500","sva bad hersfeld"
"deutschland","bad homburg","nord-west-stadion","12.000","kein ligabetrieb"
"deutschland","bad honnef","stadion menzenbergstra�e","5.000","fv bad honnef"
"deutschland","bad kreuznach","friedrich-m�bus-stadion","3.000","eintracht bad kreuznach"
"deutschland","bad neuenahr","apollinaris-stadion","6.000","sc bad neuenahr"
"deutschland","bad oeynhausen","stadion mindener strasse","5.000","fc bad oeynhausen"
"deutschland","bad oldesloe","travestadion","3.000","vfl oldesloe"
