"1","{toyota-prius|14870 MembersArchives:Public|The group is to share information among owners and others interested in the Toyota Prius. This is the first mass-produced hybrid gasoline-electric vehicle in the world with}","NULL"
"2","{Prius_Technical_Stuff|6802 MembersArchives:Membership required|Welcome to Prius_Technical_Stuff [PTS] a forum for sharing technical information about the Toyota Prius. We crave substantiated facts figures and}","&nbsp;"
"3","{mobilkapanlagi|3717 MembersArchives:Membership required|Inilah tempat paling representatif untuk para penggemar jual beli mobil. Di sini kamu semua bisa berinteraksi satu sama lain dan mendapatkan info harga dan foto mobil yang dijual oleh ...(more)}","NULL"
"4","{Jazz-Fit-Club|3212 MembersArchives:Membership required|Jazz Fit Club (JFC) bukan suatu klub yang berbasis pada modifikasi JFC dibentuk dan didirikan dengan dasar kekeluargaan dan bertujuan untuk menyatukan seluruh pemakai Honda Jazz di ...(more)}","NULL"
"5","{bike-engined-cars|2957 MembersArchives:Membership required|This group is for discussion of the building owning and running of motorcycle engined cars such as the Westfield Megabusa and the F27 Blade. Web forum mirror at http://www.bec-list.co. ...(more)}","&nbsp;"
"6","{vegoil-diesel|2637 MembersArchives:Membership required|This group is for the discussion of running diesel engines on used vegetable oil. You could use new oil but it is better used for cooking}","&nbsp;"
"7","{TYCI|1987 MembersArchives:Membership required|Toyota Yaris Club Indonesia adalah klub mobil khusus buat yaris mania yg ada di seluruh indonesia utk berkomunikasi membagi pengalaman dan informasi tentang segala sesuatu yg ...(more)}","NULL"
"8","{BMW-Mini-Cooper|1686 MembersArchives:Membership required|This well moderated ( &amp; hopefully spam free) group is here to share your joys (and any woes) of ownership of the greatest little car since the 'Classic' Mini... Welcome aboard... please}","NULL"
"9","{Avanza-Xenia-Indonesia|1578 MembersArchives:Moderators only|Milist komunitas dunia otomotif untuk para penggemar &amp; pecinta pengguna mobil Toyota Avanza dan Dahatsu Xenia di Indonesia}","&nbsp;"
"10","{gbody|1410 MembersArchives:Membership required|www.G-Body.Org is the central hub for information pertaining to the General Motors G-Body chassis line up from 1978-1988. Our Yahoo Group allows informative and fun communication ...(more)}","NULL"
