"label","manufacturer","introduced","Wikipage revision ID","Wikipage page ID"
"Duke and Sons","http://dbpedia.org/resource/PepsiCo","1889","681134832","34826446"
"Dulce de leche","","","",""
"Egill Skallagrímsson Brewery","","","657403208","3969154"
"Farina (food)","","","",""
"Frappuccino","","","",""
"Fried chicken","","","",""
"General Tso's chicken","","","",""
"Jamaican patty","","","","2262309"
"Jazz (soft drink)","","","",""
"Kola Inglesa","","","",""
"Kola Real","","","",""
"Kola Román","","","",""
"La Clandestine Absinthe","","","",""
"Leed (soft drink)","","","",""
"Lemon & Paeroa","","","",""
"Lox","","","681963054","952217"
"Mashed potato","","","683492944","482573"
"Meat carving","","","612496348","766854"
"Meatcake","","","635661295","12583886"
"Michetta","","","",""
