"Language","Publisher","Date","Contact Info"
"Poland","Studio Astropsychologii","&nbsp;","pravaru@gmail.com"
"Spanish (Spain)","Editorial Sirio","&nbsp;","www.uitgeverijparadigma.nl"
"Canada","Ariane Editions Inc.","&nbsp;","www.ariane.qc.ca"
"Croatia","V.B.Z d.o.o.","&nbsp;","www.pensamento-cultrix.com.br"
"Netherlands (Dutch)","FMG Paradigma","&nbsp;","www.editura-foryou.ro"
"Romania","s.c. Editura For You srl.","Dec 2011","lietusputns@inbox.lv"
"Japan","Softbank Creative Corp.","&nbsp;","www.sbcr.jp"
"Thailand","Direct Media Group (Tuttle-Mori Agency Thailand)","&nbsp;","www.dmgbooks.com"
"Sweden","Forma Publishing Group AB","&nbsp;","www.formapg.se"
"Israel","Oram Publishers (The Book Publishers Association of Israel)","&nbsp;","www.koha-verlag.de"
"Slovakia","Eugenika Pbl.","&nbsp;","www.eugenika.sk"
"Slovenia","Cangura d.o.o.","Oct 2010","www.cangura.com"
"Czech Republic","Macro Gruppo editoriale Srl.","&nbsp;","www.macroedizioni.it"
"Latvia","Lietusdarzs Ltd.","&nbsp;","Starta    Street 22-12                            Riga                            Latvia LV-1026"
"German","Koha Verlag GmbH","&nbsp;","www.koha-verlag.de"
"Italy","Macro Edizioni","&nbsp;","www.macroedizioni.it"
