"pr&eacute;nom nom","&nbsp;","&nbsp;","date               de la f�te","mort"
"alberto hurtado","saint",".","18 ao�t","1952"
"alphonse rodriguez","saint",".","31 octobre","1617"
"alphonse               rodriguez","saint","martyr","16 novembre","1628"
"andr� bobola","saint",".","16 mai","1657"
"antoine               baldinucci","bienheureux",".","2 juillet","1717"
"antoine             daniel","saint","martyr","19 octobre","1648"
"bernardin realino","saint",".","2 juillet","1616"
"bernardo de hoyos","bienheureux","&nbsp;","29 novembre","1735"
"charles garnier","saint","martyr","19 octobre","1649"
"charles spinola","saint","&nbsp;","4 f&eacute;vrier","1622"
"claude la colombi�re","saint",".","15 f&eacute;vrier","1682"
"diego luis             de san vitores","bienheureux","martyr","06 octobre","1672"
"dominique               collins","bienheureux","martyr","30 octobre","1602"
"edmond campion","saint","martyr","01 d&eacute;cembre","1581"
"etienne               prongracz","saint","martyr","7 septembre","1619"
"fran�ois de borgia","saint",".","03 octobre","1572"
"fran�ois garate","bienheureux",".","10 septembre","1929"
"fran&ccedil;ois               de g&eacute;ronimo","saint",".","2 juillet","1616"
"fran&ccedil;ois pacheco","bienheureux","martyr","4 f&eacute;vrier","1626"
"fran�ois xavier","saint",".","03 d&eacute;cembre","1552"
"gabriel lallemant","saint","martyr","19 octobre","1649"
"guillaume saultemouche","bienheureux","martyr","07 f&eacute;vrier","1593"
"ignace de azevedo","bienheureux",".","19 janvier","1570"
"ignace de loyola","saint",".","31 juillet","1556"
"isaac jogues","saint","martyr","19 octobre","1646"
"jacques berthieu","bienheureux","martyr","8 juin","1896"
"jacques               bonnaud","bienheureux","martyr","2 septembre","1792"
"jacques kisai","saint","martyr","06 f&eacute;vrier","1597"
"jacques sal�s","bienheureux","martyr","07 f&eacute;vrier","1593"
"jean berchmans","saint",".","26 novembre","1621"
"jean beyzym","bienheureux",".","18 ao&ucirc;t","1912"
"jean de brito","saint",".","4 f&eacute;vrier","1693"
"jean de br�beuf","saint","martyr","19 octobre","1649"
"jean               del castillo","saint","martyr","16 novembre","1628"
"jean de la lande","saint","martyr","19 octobre","1646"
"jean francois             r�gis","saint",".","16 juin","1640"
"jean nicolas cordier","bienheureux","martyr","17 ao&ucirc;t","1794"
"jean ogilvie","saint","martyr","14 octobre","1615"
"jean soan (de goto)","saint","martyr","06 f&eacute;vrier","1597"
"jos&eacute; maria rubio","saint",".","05 mai","1929"
"joseph de anchieta","bienheureux",".","09 juin","1597"
"joseph imbert","bienheureux","martyr","17 ao&ucirc;t","1794"
"joseph pignatelli","saint",".","14 novembre","1811"
"julien maunoir","bienheureux",".","29 janvier","1683"
"l&eacute;on mangin","saint","martyr","19 juin","1900"
"louis de gonzague","saint",".","21 juin","1591"
"melchior grodziecki","saint","martyr","7 septembre","1619"
"michel pro","bienheureux","martyr","23 novembre","1927"
"modeste andlauer","saint","martyr","19 juin","1900"
"no&euml;l chabanel","saint","martyr","19 octobre","1649"
"paul denn","saint","martyr","19 juin","1900"
"paul miki","saint","martyr","06 f&eacute;vrier","1597"
"pierre canisius","saint",".","27 avril","1597"
"pierre claver","saint",".","09 septembre","1654"
"pierre favre","bienheureux",".","02 ao&ucirc;t","1546"
"r&eacute;mi isor&eacute;","saint","martyr","19 juin","1900"
"ren&eacute; goupil","saint","martyr","19 octobre","1649"
"robert bellarmin","saint","docteur","17 septembre","1621"
"robert southwell","saint","martyr","01 d&eacute;cembre","1595"
"roch gonzal&egrave;s","saint","martyr","16 novembre","1628"
"rodolphe acquaviva","bienheureux",".","4 f&eacute;vrier","1583"
"rupert mayer","bienheureux",".","03 novembre","1945"
"stanislas kostka","saint",".","13 novembre","1568"
"thomas sitjar","bienheureux","martyr","22 septembre","1936"
"tous les saints","saints","&nbsp;","05 novembre","&nbsp;"
