"label","Wikipage page ID","IUPACName","ImageFile","Wikipage revision ID","imagesize"
"Benzocyclooctatetraene","47867336","Benzo[8]annulene","Benzocyclooctatetraene.svg","682315993","200"
"Calicene","47904529","5","","682364726","200"
"Californium(III) polyborate","47377509","","","673722160",""
"Cyclobutanone","47904743","","Cyclobutanon.svg","682914244","80"
"Cyclohexadecaoctaene","47941415","","","683006035",""
"Cyclononatetraene","47941407","","","683006060",""
"Cyclopentadienone","47907369","","Cyclopentadienone.svg","682523055","130"
"Cyclopentyl methyl ether","47697769","methoxycyclopentane","Mfcd08276401-large.png","679578637","200"
"Cyclopropenone","47904731","2","Cyclopropenone.svg","682523060","120"
"Butyldiglycol","47698145","","http://dbpedia.org/resource/File:2-(2-butoxyethoxy)ethanol_200.svg","679251159","300"
"Diapocynin","47892578","11","diapocynin.tif","682198093",""
"Dibromine monoxide","47623232","Dibromine monoxide","","680294151",""
"Dibrompentoxid","47623483","Dibromine pentoxide","File:Dibromine pentoxide.svg","680115428","150"
"Dibromine trioxide","47623658","Dibromine trioxide","","677898939",""
"Dihydrotanshinone","47684045","","Dihydrotanshinone.svg","679123104",""
"Ferbam","47993889","trisiron","","683641095",""
"Fluopyram","47840549","N-{2-[3-Chloro-5--2-pyridinyl]ethyl}-2-benzamide","Fluopyram.svg","681547001","200"
"Hydroxyacetone","47133654","1","Acetols.svg","673509055",""
"Ideain","47839984","","Cyanidin-3-O-galactosid.png","682198590",""
"Imidazolate","47684331","Imidazolate","Structure of the imidazolate anion.png","679087884","130"
