"Wikipage page ID","Wikipage revision ID","Link from a Wikipage to an external page","area land km","label"
"47351032","673265401","http://www.whitefishriver.ca/","40.5","Whitefish River First Nation"
"47016159","671549152","http://Whitehurst%20Hall%20History","","Whitehurst Hall"
"","","","","Wilson Place Museum"
"47325918","672897163","http://www.citywindsor.ca/residents/transitwindsor/Ride-Guide/Pages/Transit-Terminals.aspx","","Windsor International Transit Terminal"
"","","","","Wiregrass Museum of Art"
"46946426","675409981","http://www.yucatan.gob.mx/estado/municipios/31009a.htm#","","Xocchel (municipio)"
"47027287","670782966","http://yeonil.ipohang.org/","","Yeonil"
"45665948","662451471","http://1ua.com.ua/c146611","","Zadilske"
"47886970","682049364","","","Zahav"
"45708416","662318884","http://w1.c1.rada.gov.ua/pls/z7503/A005?rdat1=27.04.2015&rf7571=19349","","Zashkovychi"
"46416031","","","","Waldbahn Zelennik"
"46397800","656268607","http://www.zepyur.am/about/","","Zepyur Football Training Camp"
"47860511","682232370","http://w1.c1.rada.gov.ua/pls/z7502/A005?rf7571=36096","","Zhvanets"
"46380175","673118944","http://www.realsociedad.com/document/view/spa/181/135101/zubieta","","Instalaciones de Zubieta"
"","","","","Zuni Mountain Stupa"
"46748756","673424533","http://www.ctverin-doubi.cz/","","Čtveřín"
"47859664","681899310","","","Ōnoyama-kōen Station"
"46885430","665433795","http://www.simonovice.cz/","","Šimonovice"
"47402320","","","","'t Vlasbloemeken"
"47574950","","","","Aatxe (restaurant)"
