"city","state","airport","airport code"
"birmingham","al","bhm","bhm"
"casey","al","craig field airport","NULL"
"dothan","al","dothan airport","dhn"
"enterprise","al","enterprise municipal airport","NULL"
"greenville","al","greenville municipal airport","NULL"
"mobile","al","mobile regional airport","mob"
"montgomery","al","montgomery regional airport","mgm"
"muscle shoals","al","muscle shoals regional airport","msl"
"new haven","al","huntsville international airport","hsv"
"rainbow city","al","gadsden municipal airport","NULL"
"tuscaloosa","al","tuscaloosa municipal airport","NULL"
"adak","ak","adak airport","adk"
"akiak","ak","akiak airport","aki"
"akutan","ak","akutan airport","kqa"
"alakanuk","ak","alakanuk airport","auk"
"aleksashkina","ak","kodiak airport","adq"
"ambler","ak","ambler airport","abl"
"anaktuvuk pass","ak","anaktuvuk pass airport","akp"
"anchorage","ak","anchorage international airport","anc"
"anchorage","ak","girdwood airport","NULL"
"anchorage","ak","merrill field airport","NULL"
"anderson","ak","clear airport","NULL"
"angoon","ak","angoon airport","agn"
"aniak","ak","aniak airport","ani"
"annette","ak","annette island airport","NULL"
"anvik","ak","anvik airport","anv"
"arctic village","ak","arctic village airport","arc"
"atka","ak","atka airport","akb"
"atmautluak","ak","atmautluak airport","NULL"
"atqasuk","ak","atqasuk airport","atk"
"barrow","ak","wiley post will rogers memorial airport","brw"
"barrow","ak","point barrow airport","NULL"
"bethel","ak","bethel airport","bet"
"bethel","ak","city landing airport","NULL"
"bettles","ak","bettles airport","btt"
"bluff","ak","eielson air force base","NULL"
"boundary","ak","boundary airport","NULL"
"broadmoor","ak","fairbanks international airport","fai"
"buckland","ak","buckland airport","bkc"
"central","ak","central airport","cem"
"chalkyitsik","ak","chalkyitsik airport","cik"
"chefornak","ak","chefornak airport","cyf"
"chevak","ak","chevak airport","vak"
"chicken","ak","chicken airport","ckx"
"chignik","ak","chignik lake airport","kcq"
"chignik","ak","chignik bay airport","NULL"
"chignik lagoon","ak","chignik fisheries airport","kcg"
"chignik lagoon","ak","chignik lagoon airport","kcl"
"chisana","ak","chisana airport","czn"
"circle hot springs","ak","circle hot springs airport","NULL"
"cold bay","ak","cold bay airport","cdb"
"coldfoot","ak","porcupine creek airport","NULL"
"cordova","ak","merle k mudhole smith airport","cdv"
"craig","ak","craig seaplane base","cga"
"crooked creek","ak","crooked creek airport","NULL"
"deadhorse","ak","deadhorse airport","scc"
"deering","ak","deering airport","drg"
"dillingham","ak","dillingham municipal airport","dlg"
"edna bay","ak","edna bay seaplane base","eda"
"egegik","ak","coffee point airport","NULL"
"egegik","ak","egegik airport","NULL"
"ekuk","ak","clarks point airport","clp"
"ekuk","ak","ekuk airport","kku"
"elfin cove","ak","elfin cove airport","elv"
"elim","ak","elim airport","eli"
"emmonak","ak","emmonak airport","emk"
"folger","ak","bear creek 3 airport","NULL"
"fort greely","ak","delta junction airport","NULL"
"galena","ak","galena airport","NULL"
"gustavus","ak","gustavus airport","gst"
"hadley","ak","chomley airport","NULL"
"hadley","ak","dora bay airport","NULL"
"hadley","ak","polk inlet airport","NULL"
"haines","ak","haines airport","hns"
"homer","ak","homer airport","hom"
"hooper bay","ak","hooper bay airport","hpb"
"igiak","ak","cape romanzof long-range radar station","NULL"
"iliamna","ak","iliamna airport","ili"
"juneau","ak","cube cove airport","NULL"
"juneau","ak","juneau international airport","jnu"
"kaktovik","ak","barter island airport","bti"
"karluk","ak","karluk airport","NULL"
"kenai","ak","kenai municipal airport","ena"
"king salmon","ak","king salmon airport","akn"
"klawock","ak","klawock seaplane base","klw"
"kobuk","ak","kobuk airport","obu"
"kobuk","ak","dahl creek airport","NULL"
"koliganek","ak","koliganek airport","kgk"
"kotzebue","ak","ralph wien memorial airport","otz"
"lime village","ak","sparrevohn long-range radar station","NULL"
"mcgrath","ak","mcgrath airport","mcg"
"nenana","ak","nenana municipal airport","NULL"
"new allakaket","ak","allakaket airport","aet"
"nome","ak","nome airport","ome"
"northway","ak","northway airport","NULL"
"nulato","ak","nulato airport","nul"
"palmer","ak","palmer municipal airport","NULL"
"petersburg","ak","petersburg james a johnson airport","psg"
"pilot point","ak","big creek airport","NULL"
"pilot point","ak","pilot point airport","pip"
"pilot point","ak","ugashik bay airport","ugb"
"platinum","ak","cape newenham long-range radar station","NULL"
"point baker","ak","point baker seaplane base","kpb"
"point hope","ak","point hope airport","pho"
"port clarence","ak","port clarence coast guard station","kpc"
"port lions","ak","onion bay airport","NULL"
"port lions","ak","uganik airport","NULL"
"port lions","ak","blue fox bay airport","NULL"
"port lions","ak","danger bay airport","NULL"
"port lions","ak","seal bay airport","NULL"
"portage creek","ak","portage creek airport","NULL"
"sand point","ak","sand point airport","sdp"
"seward","ak","seward airport","NULL"
"shungnak","ak","shungnak airport","shg"
"situk","ak","yakutat airport","yak"
"skagway","ak","skagway airport","sgy"
"soldotna","ak","soldotna airport","NULL"
"st. paul island","ak","st paul island airport","NULL"
"talkeetna","ak","talkeetna airport","NULL"
"tatitlek","ak","tatitlek seaplane base","tek"
"tununak","ak","tununak airport","tnk"
"valdez","ak","valdez airport","vdz"
"wainwright","ak","wainwright airport","ain"
"wevok","ak","cape lisburne long-range radar station","lur"
"wrangell","ak","wrangell airport","wrg"
"bullhead city","az","ifp","ifp"
"calumet","az","douglas international airport","NULL"
"casa grande","az","casa grande municipal airport","NULL"
"chandler","az","stellar air park","NULL"
"colfred","az","colfred airport","NULL"
"cottonwood","az","cottonwood airport","NULL"
"drexel","az","davis monthan air force base","NULL"
"flagstaff","az","flagstaff pulliam airport","flg"
"gila bend","az","gila bend air force auxiliary field","NULL"
"hualapai","az","kingman airport","igm"
"lake havasu city","az","lake havasu city airport","NULL"
"lake havasu city","az","lake havasu city airport","NULL"
"marana","az","marana northwest regional airport","NULL"
"marana","az","pinal airpark","NULL"
"page","az","page municipal airport","pga"
"phoenix","az","sky harbor international airport","phx"
"prescott","az","ernest a love field airport","prc"
"safford","az","safford municipal airport","NULL"
"sedona","az","sedona airport","NULL"
"st. johns","az","st johns industrial air park","NULL"
"taylor","az","taylor airport","NULL"
"tucson","az","tucson international airport","tus"
"tusayan","az","grand canyon heliport","jgc"
"tusayan","az","grand canyon national park airport","NULL"
"valencia west","az","ryan field","NULL"
"winslow","az","winslow municipal airport","NULL"
"yuma","az","yuma international airport","yum"
"benton","ar","saline county airport","NULL"
"bentonville","ar","northwest arkansas regional airport","xna"
"cairo","ar","south arkansas regional airport","NULL"
"cherokee village","ar","cherokee village heliport","NULL"
"conway","ar","dennis f cantrell field airport","NULL"
"east camden","ar","harrell field airport","NULL"
"fayetteville","ar","drake field airport","NULL"
"fort smith","ar","fort smith regional airport","NULL"
"harrison","ar","boone county airport","NULL"
"hot springs","ar","hot","NULL"
"jonesboro","ar","jonesboro municipal airport","NULL"
"manila","ar","manila municipal airport","NULL"
"mena","ar","mena intermountain regional airport","NULL"
"monticello","ar","monticello municipal airport-ellis field","NULL"
"morrilton","ar","morrilton municipal airport","NULL"
"north little rock","ar","adams field airport","lit"
"rogers","ar","rogers municipal airport-carter field","NULL"
"siloam springs","ar","smith field airport","fsm"
"texarkana","ar","texarkana regional airport","txk"
"west memphis","ar","west memphis municipal airport","NULL"
"alisal","ca","salinas municipal airport","NULL"
"alturas","ca","alturas municipal airport","NULL"
"auburn","ca","auburn municipal airport","NULL"
"beverly hills","ca","century city airport","NULL"
"big bear city","ca","big bear city airport","NULL"
"bombay","ca","sacramento international airport","smf"
"brawley","ca","brawley municipal airport","NULL"
"burbank","ca","burbank glendale pasadena airport","bur"
"camarillo","ca","camarillo airport","NULL"
"carlsbad","ca","mcclellan palomar airport","cld"
"chico","ca","chico municipal airport","cic"
"clam beach","ca","arcata airport","acv"
"coalinga","ca","coalinga airport","NULL"
"concord","ca","buchanan field airport","NULL"
"coronado","ca","north island naval air station-halsey field","NULL"
"costa mesa","ca","john wayne airport","sna"
"crescent city north","ca","jack mcnamara field airport","cec"
"cuba","ca","castle airport","NULL"
"delano","ca","delano municipal airport","NULL"
"erle","ca","beale air force base","NULL"
"fresno","ca","fresno yosemite international airport","fat"
"gale","ca","barstow daggett airport","NULL"
"goleta","ca","santa barbara municipal airport","sba"
"guasti","ca","ontario international airport","ont"
"imperial","ca","imperial county airport","ipl"
"indio","ca","bermuda dunes airport","NULL"
"inyokern","ca","inyokern airport","iyk"
"johnstonville","ca","susanville municipal airport","NULL"
"king city","ca","mesa del rey airport","NULL"
"lakewood","ca","long beach daugherty field airport","lgb"
"lincoln","ca","lincoln regional airport-karl harder field","NULL"
"los alamitos","ca","los alamitos army air field","NULL"
"los angeles","ca","warner center business plaza heliport","NULL"
"los angeles","ca","universal city heliport","NULL"
"los angeles","ca","los angeles international airport","lax"
"marina","ca","marina municipal airport","NULL"
"merced","ca","merced municipal airport-macready field","mce"
"millbrae","ca","san francisco international airport","sfo"
"modesto","ca","modesto city county airport-harry sham field","mod"
"monterey","ca","monterey peninsula airport","mry"
"mountain view","ca","moffett federal airfield","NULL"
"nacimiento","ca","roberts army air field","NULL"
"novato","ca","marin county airport","NULL"
"novato","ca","hamilton field airport","NULL"
"oil junction","ca","kern county-meadows field airport","bfl"
"oxnard","ca","oxnard airport","oxr"
"palm springs","ca","palm springs international airport","psp"
"rancho cordova","ca","mather airport","NULL"
"redding","ca","redding municipal airport","rdd"
"san diego","ca","montgomery field airport","NULL"
"san diego","ca","miramar naval air station","NULL"
"san diego","ca","san diego international airport","san"
"san francisco","ca","china basin heliport","NULL"
"san jose","ca","norman y mineta san jose international airport","sjc"
"san leandro","ca","oakland international airport","oak"
"san luis obispo","ca","san luis obispo county airport","sbp"
"santa ana","ca","santa ana centerport heliport","NULL"
"santa barbara","ca","santa cruz island airport","NULL"
"santa cruz","ca","skypark airport","NULL"
"santa maria","ca","santa maria public airport","smx"
"santa monica","ca","santa monica municipal airport","NULL"
"seeley","ca","el centro naval air facility","NULL"
"stockton","ca","stockton metro airport","sck"
