"Wikipage page ID","Link from a Wikipage to an external page","Wikipage revision ID","label"
"46532035","http://hodadies.com","668771475","Hodad's"
"46538126","","","Holiday Inn Downtown Montreal"
"46288194","http://www.holytrinityandchristchurch.org/","655324153","Holy Trinity Church, Chesterfield"
"46257535","","654005333","Holy Trinity Church, Heath Town"
"45678940","http://lickeychurch.com","651490782","Holy Trinity Church, Lickey"
"46647936","","670394624","Holy Trinity Church, Micklegate, York"
"46709980","http://www.holy-trinity.com/","662747182","Holy Trinity Episcopal Church (Greensboro, North Carolina)"
"","","","Holy Trinity Twickenham"
"46647770","http://www.yucatan.gob.mx/estado/municipios/31009a.htm#","675409447","Homún (municipio)"
"","","","Hong Kong University of Science and Technology Library"
"","","","Днепр (гостиница, Киев)"
"48005803","http://www.hotelinternational.cz/","683897145","Hotel International (Brno)"
"46691834","http://www.okura.nl/","666007671","Hotel Okura Amsterdam"
"47830180","http://www.thprd.org/parks-and-trails/detail/tualatin-hills-nature-park","682336602","Howard M. Terpenning Recreation Complex"
"45677515","http://www.rkjugovic.org.rs/","656121159","Hram Sport Hall"
"46331083","http://1ua.com.ua/c25260","670170599","Humniska (rejon buski)"
"","","","Hus Gallery"
"46548226","","680094753","Husky Field (softball)"
"47014745","http://www.dalseong.daegu.kr/town/hwawon/","667580102","Hwawon-eup"
"46583492","","678723633","Hålanda Church"
