"Wikipage revision ID","Wikipage page ID","codc1 year","label","codef1 coach","Link from a Wikipage to an external page","accessdate"
"683187968","46771034","4","2015 Emporia State Hornets football team","Bryan Nardo","http://esuhornets.com/index.aspx?path=football","2015-05-22"
"683889828","46479219","","2015 FC Kansas City season","","http://www.fckansascity.com",""
"683342376","46317241","","2015 Fimleikafélag Hafnarfjarðar season","","http://www.fh.is",""
"683977999","46726288","","2015 Fylkir season","","http://www.fylkir.is",""
"682135658","47705686","","2015 Hanthawaddy United season","","http://www.rakhineunitedfc.com/",""
"683608945","46487414","","Idrettsklubben Start 2015","","http://menigheden.no",""
"683104648","47653463","","2015 International League season","","http://www.ilbaseball.com",""
"683599538","46288191","","第17回日本フットボールリーグ","","http://www.jfl.or.jp/jfl-pc/view/s.php?a=1",""
"683491446","46346183","","2015 Knattspyrnufélag Reykjavíkur season","","http://www.kr.is",""
"683696945","46183915","","2015 LA Galaxy II season","","http://realmonarchs.com/news/recap/2015/03/real-monarchs-open-inaugural-season-with-a-draw/",""
"683636816","46489298","","2015 League1 Ontario season","","http://www.league1ontario.com/",""
"679763180","47319189","","2015 MNL-2","","http://www.themnl.com",""
"682674770","46185777","","2015 Malabar Premier League season","","http://www.mplfootball.com",""
"683607805","46427582","","Odds Ballklubb 2015","","http://www.oddrane.no",""
"682241560","46653347","","2015 Omaha Beef season","","http://www.beeffootball.com/",""
"675235618","46399167","","2015 Paraguayan Primera División season","","http://www.apf.org.py/",""
"683012860","46356780","","2015 Portland Thorns FC season","","http://www.portlandthornsfc.com/",""
"683172617","46518667","","Première Ligue de Soccer du Québec 2015","","http://www.plsq.ca/",""
"683625945","47988308","","2015 Ritsumeikan Panthers football team","","http://www.ritsumeikanpanthers.com",""
"682241133","46692205","","2015 Salina Bombers season","","http://www.salinabombers.com/",""
