"Company","Industry","Employees"
"Battelle/Pacific Northwest National Laboratory","Research and Development","4485"
"URS","Government","3500"
"CH2M Hill","Government","3260"
"ConAgra","Value Added Agriculture Products","3057"
"Bechtel National","Government","2850"
"Kadlec Medical Center","Health Services","2175"
"Washington River Protection","Government","1686"
"Mission Support Alliance","Government","1478"
"Washington Closure Hanford","Government","1370"
"Tyson Foods","Value Added Agriculture Products","1300"
"Energy Northwest","Research and Development/Manufacturing","1222"
"Kennewick General Hospital","Health Services","1072"
"Broetje Orchards","Value Added Agriculture Products","1000"
"Lourdes Health Network","Health Services","807"
"AREVA","Manufacturing","662"
"Apollo Inc.","Manufacturing","625"
"Lockheed Martin","Technology/Government","600"
"Boise Cascade","Manufacturing","571"
"Fluor Federal Services","Government","541"
"Department of Energy (DOE)","Government","414"
