"Wikipage page ID","label","Link from a Wikipage to an external page","Wikipage revision ID"
"186811","Zond 5","http://nssdc.gsfc.nasa.gov/database/MasterCatalog?sc=1968-076A","662414899"
"186814","Zond 6","http://nssdc.gsfc.nasa.gov/database/MasterCatalog?sc=1968-101A","676571640"
"186816","Zond 7","http://www.mentallandscape.com/C_CatalogMoon.htm","659737760"
"186817","Zond 8","http://www.mentallandscape.com/C_CatalogMoon.htm","683321707"
"","Jupiter Europa Orbiter","",""
"","LUCID","",""
"","Explorer 58","",""
"18626145","Autonomous Nanosatellite Guardian for Evaluating Local Space","","638303662"
"","Lunar-A","",""
"","Stazione orbitale lunare","",""
"18211843","Programa Vesta","","634855175"
"","Picosat","",""
"43130237","Hodoyoshi-3","http://park.itc.u-tokyo.ac.jp/nsat/hodo3.html","655324622"
"","Giotto (spacecraft)","",""
"83222","CONTOUR","",""
"89528","Viking 2","",""
"46996424","Programme for Reusable In-orbit Demonstrator in Europe","http://www.esa.int/spaceinimages/Images/2012/11/PRIDE_mission","674330103"
"","THEMIS","",""
