"label"
"Ligament of head of femur"
"Pubofemoral ligament"
"Bifurcated ligament"
"رباط شبه مخروطي"
"رباط ضلعي ترقوي"
"Interclavicular ligament"
"Interspinal ligament"
"Oblique popliteal ligament"
"Transverse acetabular ligament"
"Transverse humeral ligament"
"Thyroepiglottic ligament"
"Anterolaterales Ligament"
"Dorsal carpometacarpal ligaments"
"Dorsal cuboideonavicular ligament"
"Dorsal cuneocuboid ligament"
"Dorsal intercarpal ligament"
"Dorsal metatarsal ligaments"
"Dorsal tarsometatarsal ligaments"
"Inferior ligament of epididymis"
"Interarticular sternocostal ligament"
