"Geburtsdatum","Geburtsort","label","birth place"
"","http://dbpedia.org/resource/British_Columbia","Dan Bremnes",""
"","","Dan Corson",""
"1950","","Dan Sullivan (Arkansas politician)","Unknown"
"","http://dbpedia.org/resource/Nebraska","Daniel F. Merriam","http://dbpedia.org/resource/Nebraska"
"1978-08-02","http://dbpedia.org/resource/New_York_City","Daniel Genis","http://dbpedia.org/resource/New_York_City"
"1979-01-13","","Daniel Kirkley",""
"","http://dbpedia.org/resource/Oregon","Daniel Parker (artist)","http://dbpedia.org/resource/Oregon"
"1983-01-21","","Daniela Carpio",""
"1997","http://dbpedia.org/resource/Port_Louis","Danika Atchia","http://dbpedia.org/resource/Port_Louis"
"","","Danny Jelaca",""
"","","Darcy Michael",""
"","http://dbpedia.org/resource/Chicago","Darius Brooks","http://dbpedia.org/resource/Chicago"
