"Wikipage revision ID","Link from a Wikipage to an external page","label","Wikipage page ID"
"671224244","http://www.anglicancleveland.org.au/","St Pauls Anglican Church, Cleveland","46211733"
"682827328","http://www.anglicanrock.org.au/churches/barcaldine.html","St Peter's Anglican Church, Barcaldine","47926326"
"673525274","http://www.stpetershighfields.org.uk/","St Peter's Church, Leicester","47367132"
"680511975","","St Peter's Church, Parwich","46378702"
"680543645","","St Peter's Church, Raunds","47784978"
"683767576","http://watfordvillage.weebly.com/the-church-of-stpeter-and-stpaul.html","St Peter & St Paul's Church, Watford","47996197"
"671548950","","St Peter & St Paul, Teddington","46891086"
"671224985","http://www.centralchurch.net.au/","St Stephen's Church, Ipswich","46958492"
"656945074","http://www.trentderwentparishes.org/#!barrow/c1a4h","St Wilfrid's Church, Barrow-upon-Trent","46401088"
"680604407","http://1ua.com.ua/c24848","Stara Sil","47767478"
"683393385","","Starrkärr Church","46599737"
"661963173","http://www.mmwec.org/stony-brook.html","Stony Brook Power Plant","46674699"
"","","Strauss Museum",""
"","","Sublimotion","46302846"
"","","Sudbury Tool Library",""
"675409685","http://www.yucatan.gob.mx/estado/municipios/31009a.htm#","Sudzal (municipio)","46887756"
"673978683","http://www.aldervillefirstnation.ca","Sugar Island 37A, Ontario","47394639"
"663153339","http://cityofmhk.com/299/Cemeteries","Sunset Cemetery","46411517"
"679580732","http://www.espncricinfo.com/india/content/ground/57968.html","Sunshine Ground","47727850"
"678728535","","Surte Church","46590692"
