"label","Wikipage page ID"
"Esaki (restaurant)","46319466"
"Escuela de fútbol de Mareo","46395414"
"Estadio Anxo Carro","46656289"
"Estadio BBVA Bancomer (Baseball)","46637650"
"Estadio Zorros del Desierto","46479897"
"Estonian Theatre and Music Museum","46493780"
"Eurosat",""
"Events at José Miguel Agrelot Coliseum","47963412"
"Everyman Gerrards Cross","46916420"
"FACT Stadium",""
"Factory Island 1, Ontario","46811986"
"Farris Field","46522030"
"Fayetteville Veterans Administration Hospital","46281314"
"Fieldhead Hospital","46740555"
"Filipino American Museum","47713656"
"Finchley Reform Synagogue","45626239"
"First Presbyterian Church (Mount Holly, New Jersey)","46873600"
"First Presbyterian Church (Pennington, New Jersey)","46679025"
"First Presbyterian Church of Greensboro","46709474"
"First Ward Park","46373674"
