"Date","Event Title","Topic","Type","Location","Language","Resources"
"Feb 082012","Corn Belt Seed Conference","Agriculture & Food","Conference","USA","English",""
"Feb 082012","New SGS Webinar: ISO26000 - One Year On","Sustainability","Seminar","","English",""
"Feb 072012","Agribusiness Showcase & Conference and ISA Meeting","Agriculture & Food","Conference","USA","English",""
"Feb 052012","Texas Seed Trade Association Meeting","Agriculture & Food","Conference","USA","English",""
"Jan 302012","European Food Manufacturing and Safety Summit 2012","Agriculture & Food","Conference","Netherlands","English",""
"Jan 272012","SGS Exploration Workshop at Mineral Exploration Roundup 2012","Mining","Seminar","Canada","English",""
"Jan 262012","SGS 2011 Annual Report Publication","SGS Corporate Investor Relations","Corporate Financial Event","Geneva Switzerland","English",""
"Jan 182012","LSS Navi Mumbai Lab Opening","Life Sciences","Inauguration","Mumbai India","English (United Kingdom)",""
"Jan 182012","happy new year","Training","Seminar","","English",""
"Jan 182012","Ag Expo 2012","Agriculture & Food","Tradeshow","USA","English",""
