"Wikipage page ID","Link from a Wikipage to an external page","Wikipage revision ID","label"
"47011126","http://dejal.com","668055971","Dejal"
"47813453","","681048174","Del Frisco's Restaurant Group"
"47012156","","680304053","Delfina Foundation"
"47935307","","","Delhi Public School Kidwai Nagar"
"","","","Dell Medical School"
"46761858","","","Department of Environment, Land, Water and Planning (Victoria)"
"","","","Department of Parks and Wildlife (Western Australia)"
"","","","Dependency (band)"
"46471243","http://deportivocorasusa.com/","665965222","Deportivo Coras USA"
"47362739","http://fireballsinthesky.com.au","673689533","Desert Fireball Network"
"","","","DesignMyNight.com"
"46896298","","665612221","Destiny 105"
"46517437","http://dfs.no","673001940","Det frivillige Skyttervesen"
"47835369","http://cloud.exchange/","681874236","Deutsche Börse Cloud Exchange AG"
"46309183","http://www.messe.de/","670749682","Deutsche Messe AG"
"","","","Devart"
"46803882","http://www.sab.sachsen.de/en/index.jsp","677750871","Sächsische Aufbaubank"
"","","","Development Management Institute"
"47881155","https://www.dehatindia.org/","683193737","Developmental Association for Human Advancement"
"","","","Dhamaal Tv"
