"Wikipage revision ID","label","Wikipage page ID"
"683118167","Destruction in Kobe (2015)","47020123"
"682521548","Destruction in Okayama (2015)","47020125"
"680658939","El Protector (2014)","47388044"
"682942441","Fastlane (2016)","46391855"
"679835905","Festival de las Máscaras (2014)","47387990"
"674430027","Guerra del Golfo (2014)","47387664"
"680433123","IWRG 18th Anniversary Show","47392820"
"679836052","IWRG La Isla","47390610"
"675589183","Legado Final (2015)","47385314"
"681244081","Lucha Libre World Cup","46490037"
"675594008","Prison Fatal (August 2014)","47387097"
"679835833","Prison Fatal (May 2014)","47387179"
"675587755","Rebelión de los Juniors (2014)","47388106"
"674431894","Rey del Ring (2014)","47387866"
"674041311","Sin Escape Con Correrás","47390505"
"676589062","53rd Anniversary of Lucha Libre in Estadio de Mexico","47434152"
"676589048","Arena Naucalpan 38th Anniversary Show","47434102"
"680150452","Caravan de Campeones (2015)","47434072"
"674618428","El Castillo del Terror (2015)","47434093"
"675077048","El Protector (2015)","47460299"
