"birth place","label","Geburtsort"
"http://dbpedia.org/resource/Washington,_D.C.","Jeff Majors","http://dbpedia.org/resource/Washington,_D.C."
"http://dbpedia.org/resource/Fremont,_California","Jeff Myers","http://dbpedia.org/resource/Fremont,_California"
"Chicago, Illinois","Jeff Seidel","http://dbpedia.org/resource/Chicago"
"http://dbpedia.org/resource/Minneapolis","Jeffrey Eyster","http://dbpedia.org/resource/Minneapolis"
"","Jeffrey Kite",""
"Bandung, Indonesia","Jeffrey Polnaja","http://dbpedia.org/resource/Bandung"
"http://dbpedia.org/resource/Guatemala","Jeimmy Aburto","http://dbpedia.org/resource/Guatemala"
"","Jekalyn Carr","http://dbpedia.org/resource/Arkansas"
"Washington","Jen Vaughn","http://dbpedia.org/resource/Oklahoma"
"Detroit, Michigan, United States","Jenean Hampton","http://dbpedia.org/resource/Michigan"
"Mineola, NY, USA","Jenna Busch","http://dbpedia.org/resource/Mineola,_New_York"
"http://dbpedia.org/resource/Philippines","Jennifer Paz","http://dbpedia.org/resource/Philippines"
"","Jennifer Percy",""
"Munich","Jennifer Teege","http://dbpedia.org/resource/Munich"
"","Jenny Lee Lindberg","http://dbpedia.org/resource/Honolulu"
"Adelaide, South Australia","Jenny Leong","http://dbpedia.org/resource/Adelaide"
"http://dbpedia.org/resource/Miami_Beach,_Florida","Jeremy R. Haft","http://dbpedia.org/resource/Miami_Beach,_Florida"
"http://dbpedia.org/resource/United_States","ジャーモール・チャーロ","http://dbpedia.org/resource/United_States"
"","Jerome Booth",""
"","Jerry Roe","http://dbpedia.org/resource/Nashville,_Tennessee"
