"label","Geburtsdatum"
"Andy Van Dorsselaer","1966-11-03"
"Andy Wilmot",""
"Aneesh Upasana","1979-07-25"
"Angela Crawley",""
"Angela Nazar",""
"Angella Nazarian","1968"
"Angie Fisher",""
"Ani Bezzerides",""
"Anita Fields","1951"
"Anita Fuentes","1978-03-08"
"Ankur Warikoo","1980-08-25"
"Ann McGovern",""
"Anna Depenbusch",""
"Anna Kontula","1977-03-30"
"Anna Peterson",""
"Anna Von Mertens",""
"Anne Berner","1964-01-16"
"Anne Denholm","1991-07-29"
"Anne Ishii",""
"Annette Beck-Sickinger","1960-10-28"
