"name","region","income","gni","population"
"afghanistan","south asia","low income","517","30605401"
"albania","eastern europe &amp; central asia","upper middle income","4000","3169087"
"algeria","middle east &amp; north africa","upper middle income","4460","35422589"
"angola","sub-saharan africa","lower middle income","3960","18992707"
"antigua and barbuda","latin america &amp; caribbean","upper middle income","10610","88550"
"argentina","latin america &amp; caribbean","upper middle income","8450","40665732"
"armenia","eastern europe &amp; central asia","lower middle income","3090","3090379"
"australia","oecd high income","high income","43740","22327200"
"austria","oecd high income","high income","46710","8381780"
"azerbaijan","eastern europe &amp; central asia","upper middle income","5180","8883200"
"bahamas the","latin america &amp; caribbean","high income","21879","345736"
"bahrain","middle east &amp; north africa","high income","20475","807131"
"bangladesh","south asia","low income","640","164425491"
"belarus","eastern europe &amp; central asia","upper middle income","6030","9645000"
"belgium","oecd high income","high income","45420","10866560"
"belize","latin america &amp; caribbean","lower middle income","3740","344700"
"benin","sub-saharan africa","low income","750","9211741"
"bhutan","south asia","lower middle income","1920","708484"
"bolivia","latin america &amp; caribbean","lower middle income","1790","10030832"
"bosnia and herzegovina","eastern europe &amp; central asia","upper middle income","4790","3759633"
"botswana","sub-saharan africa","upper middle income","6890","1977569"
"brazil","latin america &amp; caribbean","upper middle income","9390","194946470"
"brunei darussalam","east asia &amp; pacific","high income","31238","407045"
"bulgaria","eastern europe &amp; central asia","upper middle income","6240","7561910"
"burkina faso","sub-saharan africa","low income","550","16286706"
"burundi","sub-saharan africa","low income","160","8518862"
"cambodia","east asia &amp; pacific","low income","760","14138255"
"cameroon","sub-saharan africa","lower middle income","1160","19958351"
"canada","oecd high income","high income","46215","34173900"
"cape verde","sub-saharan africa","lower middle income","3160","512582"
"central african republic","sub-saharan africa","low income","460","4505945"
"chad","sub-saharan africa","low income","600","11506130"
"chile","latin america &amp; caribbean","upper middle income","9940","17134708"
"china","east asia &amp; pacific","upper middle income","4260","1338300000"
"colombia","latin america &amp; caribbean","upper middle income","5510","46300196"
"comoros","sub-saharan africa","low income","820","675000"
"congo dem. rep.","sub-saharan africa","low income","180","67827495"
"congo rep.","sub-saharan africa","lower middle income","2310","3758678"
"costa rica","latin america &amp; caribbean","upper middle income","6580","4639827"
"c&#244;te d'ivoire","sub-saharan africa","lower middle income","1070","21570746"
"croatia","eastern europe &amp; central asia","high income","13760","4430003"
"cyprus","eastern europe &amp; central asia","high income","28237","879723"
"czech republic","oecd high income","high income","17870","10534920"
"denmark","oecd high income","high income","58980","5565020"
"djibouti","middle east &amp; north africa","lower middle income","1383","879053"
"dominica","latin america &amp; caribbean","upper middle income","4960","74000"
"dominican republic","latin america &amp; caribbean","upper middle income","4860","10225482"
"ecuador","latin america &amp; caribbean","upper middle income","4510","13774909"
"egypt arab rep.","middle east &amp; north africa","lower middle income","2340","84474427"
"el salvador","latin america &amp; caribbean","lower middle income","3360","6194126"
"equatorial guinea","sub-saharan africa","high income","14680","693385"
"eritrea","sub-saharan africa","low income","340","5223994"
"estonia","oecd high income","high income","14360","1340200"
"ethiopia","sub-saharan africa","low income","380","84975606"
"fiji","east asia &amp; pacific","lower middle income","3610","854098"
"finland","oecd high income","high income","47170","5362610"
"france","oecd high income","high income","42390","64876618"
"gabon","sub-saharan africa","upper middle income","7760","1501266"
"gambia the","sub-saharan africa","low income","440","1750732"
"georgia","eastern europe &amp; central asia","lower middle income","2690","4428544"
"germany","oecd high income","high income","43330","81635580"
"ghana","sub-saharan africa","lower middle income","1240","24332755"
"greece","oecd high income","high income","27240","11329170"
"grenada","latin america &amp; caribbean","upper middle income","5560","104342"
"guatemala","latin america &amp; caribbean","lower middle income","2740","14376881"
"guinea","sub-saharan africa","low income","380","10323755"
"guinea-bissau","sub-saharan africa","low income","540","1647380"
"guyana","latin america &amp; caribbean","lower middle income","3270","761442"
"haiti","latin america &amp; caribbean","low income","650","9958175"
"honduras","latin america &amp; caribbean","lower middle income","1880","7615584"
"hong kong sar china","east asia &amp; pacific","high income","32900","7041270"
"hungary","oecd high income","high income","12990","10004970"
"iceland","oecd high income","high income","33870","318450"
"india","south asia","lower middle income","1340","1170938000"
"indonesia","east asia &amp; pacific","lower middle income","2580","232516771"
"iran islamic rep.","middle east &amp; north africa","upper middle income","4741","73864000"
"iraq","middle east &amp; north africa","lower middle income","2320","32297391"
"ireland","oecd high income","high income","40990","4451310"
