"Country","Language","Effective Date","File"
"Repubblica Italiana","Italiano","1/1/2010 to present","Download Now"
"R&eacute;publique fran&ccedil;aise","Fran&ccedil;ais","1/1/2010 to present","Download Now"
"Reino de Espa&ntilde;a","Espa&ntilde;ol","1/1/2010 to present","Download Now"
"Bundesrepublik Deutschland","Deutsch","1/1/2010 to present","Download Now"
"Republik &Ouml;sterreich","Deutsch","1/1/2010 to present","Download Now"
"Schweiz","Deutsch","1/1/2010 to present","Download Now"
"United Kingdom","English","1/1/2010 to present","Download Now"
"Sweden","English","1/1/2010 to present","Download Now"
"Republic of Finland","English","1/1/2010 to present","Download Now"
"The Netherlands","English","1/1/2010 to present","Download Now"
"Kingdom of Belgium","English","1/1/2010 to present","Download Now"
"Republic of Ireland","English","1/1/2010 to present","Download Now"
"All countries not explicitly listed above","English","1/1/2010 to present","Download Now"
