"species","breeding","spring","summer","fall","winter"
"common loon","&nbsp;","r","&nbsp;","&nbsp;","r"
"pied-billed grebe","b","c","u","c","&nbsp;"
"horned grebe","&nbsp;","u","&nbsp;","&nbsp;","&nbsp;"
"red-necked grebe","&nbsp;","a","&nbsp;","&nbsp;","&nbsp;"
"american white pelican","&nbsp;","a","&nbsp;","&nbsp;","&nbsp;"
"double-crested cormorant","&nbsp;","c","c","c","&nbsp;"
"american bittern","&nbsp;","u","r","r","&nbsp;"
"least bittern","&nbsp;","&nbsp;","r","&nbsp;","&nbsp;"
"great blue heron","b","c","c","c","u"
"great egret","&nbsp;","u","c","c","&nbsp;"
"little blue heron","&nbsp;","&nbsp;","r","r","&nbsp;"
"cattle egret","&nbsp;","r","&nbsp;","&nbsp;","&nbsp;"
"green heron","b","u","c","r","&nbsp;"
"black-crowned night heron","&nbsp;","r","r","r","&nbsp;"
"yellow-crowned night heron","&nbsp;","r","&nbsp;","&nbsp;","&nbsp;"
"glossy/white-faced ibis","&nbsp;","&nbsp;","&nbsp;","a","&nbsp;"
"tundra swan","&nbsp;","&nbsp;","&nbsp;","r","r"
"greater white-fronted goose","&nbsp;","r","&nbsp;","&nbsp;","&nbsp;"
"snow goose","&nbsp;","r","&nbsp;","r","&nbsp;"
"canada goose","b","c","c","c","c"
"wood duck","b","u","c","c","u"
"green-winged teal","&nbsp;","u","r","c","&nbsp;"
"american black duck","&nbsp;","r","&nbsp;","r","u"
"mallard","b","c","c","c","c"
"northern pintail","&nbsp;","u","&nbsp;","u","u"
"blue-winged teal","b","c","c","c","&nbsp;"
"northern shoveler","&nbsp;","c","&nbsp;","c","r"
"gadwall","&nbsp;","u","&nbsp;","u","u"
"american wigeon","&nbsp;","u","&nbsp;","c","u"
"canvasback","&nbsp;","r","&nbsp;","r","r"
"redhead","&nbsp;","r","&nbsp;","r","u"
"ring-necked duck","&nbsp;","u","&nbsp;","r","u"
"lesser scaup","&nbsp;","c","&nbsp;","r","u"
"common golden eye","&nbsp;","r","&nbsp;","&nbsp;","r"
"bufflehead","&nbsp;","u","&nbsp;","r","u"
"hooded merganser","b","u","r","r","r"
"common merganser","&nbsp;","r","&nbsp;","&nbsp;","&nbsp;"
"red-brested merganser","&nbsp;","r","a","&nbsp;","r"
"ruddy duck","&nbsp;","u","&nbsp;","&nbsp;","&nbsp;"
"turkey vulture","b","c","c","c","r"
"osprey","&nbsp;","r","&nbsp;","r","&nbsp;"
"bald eagle","&nbsp;","r","r","&nbsp;","&nbsp;"
"northern harrier","&nbsp;","c","r","c","c"
"sharp-skinned hawk","&nbsp;","&nbsp;","&nbsp;","r","&nbsp;"
"cooper's hawk","&nbsp;","u","u","u","&nbsp;"
"broad-winged hawk","&nbsp;","r","&nbsp;","&nbsp;","&nbsp;"
"red-tailed hawk","b","c","c","c","c"
"rough-legged hawk","&nbsp;","r","&nbsp;","r","u"
"american kestrel","b","u","u","u","c"
"merlin","&nbsp;","r","&nbsp;","u","&nbsp;"
"peregrine falcon","&nbsp;","r","&nbsp;","r","&nbsp;"
"ring-necked pheasant","b","c","c","c","c"
"greater prairie-chicken","h","h","h","h","h"
"wild turkey","&nbsp;","r","r","&nbsp;","&nbsp;"
"northern bobwhite","b","u","u","u","u"
"king rail","&nbsp;","r","&nbsp;","&nbsp;","&nbsp;"
"virginia rail","&nbsp;","&nbsp;","u","r","&nbsp;"
"sora","&nbsp;","r","u","r","&nbsp;"
"american coot","&nbsp;","c","u","c","u"
"sandhill crane","&nbsp;","u","&nbsp;","u","u"
"black-bellied plover","&nbsp;","r","&nbsp;","r","&nbsp;"
"american golden-plover","c","&nbsp;","u","&nbsp;","&nbsp;"
"semipalmated plover","&nbsp;","u","&nbsp;","u","&nbsp;"
"killdeer","b","c","c","c","u"
"black-necked stilt","&nbsp;","&nbsp;","&nbsp;","a","&nbsp;"
"american avocet","&nbsp;","&nbsp;","&nbsp;","a","&nbsp;"
"greater yellowlegs","&nbsp;","u","&nbsp;","u","&nbsp;"
"lesser yellowlegs","&nbsp;","c","&nbsp;","c","&nbsp;"
"solitary sandpiper","&nbsp;","r","&nbsp;","u","&nbsp;"
"spotted sandpiper","b","u","u","r","&nbsp;"
"upland sandpiper","b","r","u","&nbsp;","&nbsp;"
"hudsonian godwit","&nbsp;","&nbsp;","&nbsp;","r","&nbsp;"
"marbled godwit","&nbsp;","r","&nbsp;","&nbsp;","&nbsp;"
"sanderling","&nbsp;","&nbsp;","&nbsp;","r","&nbsp;"
