"Wikipage revision ID","label","Wikipage page ID"
"648164026","Church of Our Lady of the Assumption, Englefield Green","45460500"
"","Church of Our Most Holy Redeemer and St Thomas More, Chelsea",""
"","Iglesia de San Constantino y Santa Elena (Caracas)",""
"681878443","Church of the Nativity of Mary, Naxxar","47614267"
"672907267","City Center Bellevue","47072132"
"656663161","Ciuflea","45514033"
"","Cloudnine Hospitals","45502491"
"672382675","Cocoricò","47290271"
"675119196","Conway Municipal Airport","47400367"
"679515889","Copiapó Solar Project","47618045"
"","Croatian Natural History Museum",""
"675413020","Cuncunul (municipio)","47188341"
"","DSK Shivajians Ground",""
"668262644","Daegaya-eup","47056755"
"680184564","Dataran Pahlawan Malacca Megamall","45380034"
"683026924","Daud Halt railway station","47619443"
"683928139","De Valkenier (pretpark)","45602492"
"","Delta Hospital","47161602"
"675356196","Десятинный монастырь","45369602"
"","Dhyanchand Stadium",""
