"appmag v","equinox","Wikipage revision ID","class","constell","epoch","Wikipage page ID","label"
"9.39","J2000.0","675755171","B9e","http://dbpedia.org/resource/Corona_Australis","http://dbpedia.org/resource/Epoch_(astronomy)","47506601","TY Coronae Australis"
"11.67","J2000.0","675753648","F0","http://dbpedia.org/resource/Corona_Australis","http://dbpedia.org/resource/Epoch_(astronomy)","47506435","T Coronae Australis"
"","","675809357","","","","47167839","UK-DMC 3"
"","","671738233","","","","47252346","USA-262"
"","","","","","","","V372 Carinae"
"","","672783351","","","","47144805","Venus orbiter mission"
"","","672449147","http://dbpedia.org/resource/Stellar_classification","","","47262265","WASP-85 Ab"
"11.16","","672378713","G-","http://dbpedia.org/resource/Corvus_(constellation)","http://dbpedia.org/resource/Epoch_(astronomy)","47294360","W Corvi"
"8.51","","672264312","A2V","","","47277204","W Ursae Minoris"
"16.6","","676673196","/","http://dbpedia.org/resource/Norma_(constellation)","J2000","47558532","XTE J1550-564"
"8.1","","676625267","K0 III","http://dbpedia.org/resource/Triangulum","J2000.0","47540562","XX Trianguli"
"","","683730551","","","","47734753","(185105) 2006 SV23"
"","","","","","","47816640","2015 ER61"
"","","679533499","","","","47373307","AK Pyxidis"
"","","683992007","","","","47612761","ARSAT-2"
"","","683992521","","","","47613025","ARSAT-3"
"","","677392513","","","","47562307","Cygnus CRS Orb-10E"
"","","676789304","","","","47562098","Cygnus CRS Orb-7"
"","","677392309","","","","47562235","Cygnus CRS Orb-8E"
"","","677392529","","","","47562281","Cygnus CRS Orb-9E"
