"Date","Opponent","Result"
"{09/09|TBA|2 hour event}","{@ Governor Livingston (Berkeley Heights NJ) *|Preview Game Box Score}","35 - 20Loss"
"{09/23|TBA|2 hour event}","{Johnson (Clark NJ) *|Preview Game Box Score}","28 - 6Loss"
"{09/30|TBA|2 hour event}","{@ Central (Newark NJ) *|Preview Game Box Score}","48 - 0Win"
"{10/07|TBA|2 hour event}","{Kearny (Kearny NJ)|Preview Game Box Score}","28 - 0Loss"
"{10/14|TBA|2 hour event}","{East Side (Newark NJ)|Preview Game Box Score}","19 - 14Win"
"{10/21|TBA|2 hour event}","{@ Hillside (Hillside NJ) *|Preview Game Box Score}","39 - 2Loss"
"{10/30|TBA|2 hour event}","{@ Rahway (Rahway NJ) *|Preview Game Box Score}","27 - 6Loss"
"{11/04|TBA|2 hour event}","{New Providence (New Providence NJ)|Preview Game Box Score}","41 - 12Loss"
"{11/10|TBA|2 hour event}","{@ Point Pleasant Beach (Point Pleasant Beach NJ)|Preview Game Box Score}","32 - 31Win"
"{11/23|TBA|2 hour event}","{@ Roselle Park (Roselle Park NJ)|Preview Game Box Score}","16 - 12Loss"
