"Geburtsort","label","Geburtsdatum","birth place"
"http://dbpedia.org/resource/Tórshavn","Bárður Hansen","","http://dbpedia.org/resource/Tórshavn"
"http://dbpedia.org/resource/Stockholm","Camilla Lennarth","","http://dbpedia.org/resource/Stockholm"
"http://dbpedia.org/resource/Ontario","Christina Picton","",""
"","Christopher Bell (racing driver)","","http://dbpedia.org/resource/Oklahoma"
"http://dbpedia.org/resource/Brussels","Claire Michel","1988-10-13","http://dbpedia.org/resource/Brussels"
"","Coretta Brown","1980-10-21",""
"http://dbpedia.org/resource/Romania","Cristian Bocșan","","http://dbpedia.org/resource/Romania"
"http://dbpedia.org/resource/Saitama_Prefecture","佐々木大樹 (レーサー)","","http://dbpedia.org/resource/Saitama_Prefecture"
"http://dbpedia.org/resource/Merseyside","Declan Jones","",""
"http://dbpedia.org/resource/Buenos_Aires","Diego Matías Rodríguez","","http://dbpedia.org/resource/Buenos_Aires"
"http://dbpedia.org/resource/Ukraine","Dmytro Anatoliyovych Osadchyi","1992-03-20","http://dbpedia.org/resource/Ukraine"
"http://dbpedia.org/resource/Cherkasy","Dmytro Bilonoh","","http://dbpedia.org/resource/Cherkasy"
"http://dbpedia.org/resource/Ukraine","Dmytro Ivanisenya","",""
