"Location","Language","Common&nbsp;name","PIER&nbsp;bibliographic&nbsp;reference","Comments"
"?","Chinese","fan bao cao","Zhengyi Wu/Raven Peter H./Deyuan Hong (2011)","&nbsp;"
"?","English","Benghal dayflower","U.S. Dept. Agr. Agr. Res. Serv. (2011)","&nbsp;"
"?","English","dayflower","U.S. Dept. Agr. Agr. Res. Serv. (2011)","&nbsp;"
"?","English","hairy wandering Jew","Waterhouse D. F. (1994)&nbsp;(p.&nbsp;56)","&nbsp;"
"?","English","Indian dayflower","U.S. Dept. Agr. Agr. Res. Serv. (2011)","&nbsp;"
"?","English","tropical spiderwort","Hafliger E. (1092)&nbsp;(p.&nbsp;101)","&nbsp;"
"?","English","wandering Jew","U.S. Dept. Agr. Agr. Res. Serv. (2011)","&nbsp;"
"?","French","commeline du Bengale","Hafliger E. (1092)&nbsp;(p.&nbsp;101)","&nbsp;"
"?","Japanese","tsuyukusa","Holm Leroy G./Plucknett D. L./Pancho J. V./Herberger J. P. (1977)&nbsp;(p.&nbsp;234)","&nbsp;"
"Hawaiian Islands","Hawaiian","hairy honohono","Wagner Warren L./Herbst Derral R./Sohmer S. H. (1999)&nbsp;(p.&nbsp;1379)","&nbsp;"
"Mauritius Island","French","herbe aux cochons","Holm Leroy G./Plucknett D. L./Pancho J. V./Herberger J. P. (1977)&nbsp;(p.&nbsp;234)","&nbsp;"
"Mexico (United Mexican States)","Spanish","golondrina","Hafliger E. (1092)&nbsp;(p.&nbsp;plate)","&nbsp;"
"Mexico (United Mexican States)","Spanish","matal&#237;","Hafliger E. (1092)&nbsp;(p.&nbsp;plate)","&nbsp;"
"Philippine Islands","Cebuano","sabilau","Holm Leroy G./Plucknett D. L./Pancho J. V./Herberger J. P. (1977)&nbsp;(p.&nbsp;234)","&nbsp;"
"Philippine Islands","Ibatan","kuhasi","Holm Leroy G./Plucknett D. L./Pancho J. V./Herberger J. P. (1977)&nbsp;(p.&nbsp;234)","&nbsp;"
"Philippine Islands","Iloko","kulkulasi","Holm Leroy G./Plucknett D. L./Pancho J. V./Herberger J. P. (1977)&nbsp;(p.&nbsp;234)","&nbsp;"
"Philippine Islands","Pampangan","bias-bias","Holm Leroy G./Plucknett D. L./Pancho J. V./Herberger J. P. (1977)&nbsp;(p.&nbsp;234)","&nbsp;"
"Philippine Islands","Tagalog","alikbangon","Holm Leroy G./Plucknett D. L./Pancho J. V./Herberger J. P. (1977)&nbsp;(p.&nbsp;234)","&nbsp;"
"Tonga Islands","Tongan","kaningi","Whistler W. A. (1988)&nbsp;(p.&nbsp;40)","&nbsp;"
"Tonga Islands","Tongan","kanini","Whistler W. A. (1983)&nbsp;(p.&nbsp;75)","&nbsp;"
"Tonga Islands","Tongan","musie matala pulu","Yuncker T. G. (1959)&nbsp;(p.&nbsp;77)","Not verified by Whistler (1991)."
"Western Samoa Islands","Samoan","mau&#145;u Toga","Whistler W. A. (1983)&nbsp;(p.&nbsp;75)","&nbsp;"
"Western Samoa Islands","Samoan","mau&#145;u toga","Whistler W. A. (1984)&nbsp;(p.&nbsp;477)","&nbsp;"
