"Country","Language","Launch date"
"&nbsp;USA (and worldwide launch)","English (American)","{02005-02-15|February 15 2005|[89]}"
"&nbsp;Brazil","Portuguese (Brazil)","{02007-06-19|June 19 2007|[89]}"
"&nbsp;France","French","{02007-06-19|June 19 2007|[89]}"
"&nbsp;Ireland","English (Ireland)","{02007-06-19|June 19 2007|[89]}"
"&nbsp;Italy","Italian","{02007-06-19|June 19 2007|[89]}"
"&nbsp;Japan","Japanese","{02007-06-19|June 19 2007|[89]}"
"&nbsp;Netherlands","Dutch","{02007-06-19|June 19 2007|[89]}"
"&nbsp;Poland","Polish","{02007-06-19|June 19 2007|[89]}"
"&nbsp;Spain","Spanish and Catalan","{02007-06-19|June 19 2007|[89]}"
"&nbsp;United Kingdom","English (United Kingdom)","{02007-06-19|June 19 2007|[89]}"
"&nbsp;Mexico","Spanish (Mexico)","{02007-10-11|October 11 2007|[92]}"
"&nbsp;Hong Kong","{English|Chinese (Traditional)}","{02007-10-17|October 17 2007|[93]}"
"&nbsp;Taiwan","Chinese (Traditional)","{02007-10-18|October 18 2007|[94]}"
"&nbsp;Australia","English (Australia)","{02007-10-22|October 22 2007|[95]}"
"&nbsp;New Zealand","English (New Zealand)","{02007-10-22|October 22 2007|[95]}"
"&nbsp;Canada","{English (Canada)|French (Canada)}","{02007-11-06|November 6 2007|[96]}"
"&nbsp;Germany","German","{02007-11-08|November 8 2007|[97]}"
"&nbsp;Russia","Russian","{02007-11-13|November 13 2007|[98]}"
"Korea South","Korean","{02008-01-23|January 23 2008|[99]}"
"&nbsp;Israel","Hebrew","{02008-09-16|September 16 2008}"
"&nbsp;India","{English (India)|Hindi}","{02008-05-07|May 7 2008|[100]}"
"&nbsp;Czech Republic","Czech","{02008-10-09|October 9 2008|[101]}"
"&nbsp;Sweden","Swedish","{02008-10-22|October 22 2008}"
"&nbsp;South Africa","English (South African)","{02010-05-17|May 17 2010|[89]}"
"&nbsp;Argentina","Spanish (Argentina)","{02010-09-08|September 8 2010|[90]}"
"&nbsp;Algeria","Arabic","{02011-03-09|March 9 2011|[102]}"
"&nbsp;Egypt","Arabic","{02011-03-09|March 9 2011|[102]}"
"&nbsp;Saudi Arabia","Arabic","{02011-03-09|March 9 2011|[102]}"
"&nbsp;Tunisia","Arabic","{02011-03-09|March 9 2011|[102]}"
"&nbsp;Jordan","Arabic","{02011-03-09|March 9 2011|[102]}"
"&nbsp;Morocco","Arabic","{02011-03-09|March 9 2011|[102]}"
"&nbsp;Yemen","Arabic","{02011-03-09|March 9 2011|[102]}"
"&nbsp;Kenya","{English (Kenya)|Swahili}","{02011-10-05|October 5 2011|[103]}"
"&nbsp;Philippines","English (official) and Filipino","{02011-10-13|October 13 2011|[104]}"
"&nbsp;Singapore","English (Singapore)","{02011-10-20|October 20 2011|[105]}"
"&nbsp;Belgium","{French (Belgian)|Dutch (Belgian)}","{02011-11-16|November 16 2011}"
"&nbsp;Colombia","Spanish (Colombia)","{02011-11-30|November 30 2011|[106]}"
"&nbsp;Uganda","English (Ugandan)","{02011-12-02|December 2 2011|[107]}"
"&nbsp;Nigeria","English (Nigerian)","{02011-12-07|December 7 2011|[108]}"
"&nbsp;Chile","Spanish (Chile)","{02012-01-20|January 20 2012|[109]}"
"&nbsp;Hungary","Hungarian","{02012-02-29|February 29 2012|[110]}"
"&nbsp;Malaysia","{English (Malaysian)|Malay}","{02012-03-22|March 22 2012|[111]}"
"&nbsp;Peru","Spanish (Peru)","{02012-03-25|March 25 2012|[112]}"
"&nbsp;United Arab Emirates","{Arabic|English (UAE)}","{02012-03-29|March 29 2012|[102]}"
