"","{tickled blue 9 dinner plates (8)|the tickled blue 9 dinner plates is a perfect compliment to your baby shower tableware and place settings. includes: 8 dinner plates.&nbsp;sku:&nbsp;pe-1dpl3586}","$3.49"
"","{tickled blue 7 dessert plates (8)|the tickled blue 7 dessert plates is a perfect compliment to your baby shower tableware and place settings. includes: 8 dessert plates.&nbsp;sku:&nbsp;pe-1pl3586}","$3.19"
"","{tickled blue luncheon napkin (16)|dress up your party tableware settings with the tickled blue luncheon napkins. napkin size: 6 1/2 x 6 1/2 folded. includes: 16 2 ply lunch napkins.&nbsp;sku:&nbsp;pe-1lun3586}","$3.69"
"","{tickled blue beverage napkin (16)|dress up your party tableware settings with the tickled blue beverage napkins. napkin size: 5 x 5 folded. includes: 16 2 ply beverage napkins.&nbsp;sku:&nbsp;pe-1bev3586}","$3.19"
"","{tickled blue 9 oz. cups (8)|the tickled blue 9 oz. cups is a perfect compliment to your party tableware and place settings. includes: 8 cups.&nbsp;sku:&nbsp;pe-1drc3586}","$3.19"
"","{tickled blue invitations (8)|the tickled blue invitations are a great way to invite your friends and family to your baby shower. includes: 8 invitations and 8 envelopes&nbsp;sku:&nbsp;pe-1inv3586}","$3.89"
"","{tickled blue thank-you notes (8)|the tickled blue thank-you notes are great for saying thank you to your friends and family for attending your baby shower. includes: 8 thank-you notes and 8 envelopes&nbsp;sku:&nbsp;pe-1thk3586}","$3.89"
"","{tickled blue advice book (1)|the tickled blue advice book is a perfect gift for a new mommy-to-be. product size: 7 x 5 �&nbsp;sku:&nbsp;pe-1fav3586}","$2.99"
"","{tickled blue banner (1)|the tickled blue banner is a perfect compliment to your baby shower theme decorations. product size: 10'l&nbsp;sku:&nbsp;pe-1hng3586}","$3.79"
"","{tickled blue centerpiece (1)|the tickled blue centerpiece is a perfect compliment to your party decorations. centerpiece height: 12 �.&nbsp;sku:&nbsp;pe-1cph3586}","$4.99"
"","{tickled blue table cover (1)|include in your party tableware settings the tickled blue plastic table cover and protect your table from spills and mess. table cover size: 54 x 102.&nbsp;sku:&nbsp;pe-1tbl3586}","$5.49"
"","{tickled blue mini treat boxes (8)|what better way is there to hold your baby shower favors than in the tickled blue mini treat boxes. box size: 3 � x 4 x 1 �. includes: 8 treat boxes.&nbsp;sku:&nbsp;pe-1mtb3586}","$3.99"
