"Wikipage revision ID","Wikipage page ID","birth place","label"
"683538260","47816352","Montreal, Quebec","Jim Stevenson (Canadian politician)"
"","","","Jimena Fama"
"","","http://dbpedia.org/resource/Scotland","Jimmy Gunn (golfer)"
"","","","Jimmy Hicks"
"","","http://dbpedia.org/resource/Lahore","Jimmy Khan"
"","","Kawanishi, Hyōgo, Japan","Jimon Terakado"
"","","Tokyo, Japan","平牧仁"
"","","","Jo Hanson"
"","","","Joan Carreras i Goicoechea"
"","","València","Joan Francesc Mira"
"","","","Joan McKowen"
"","","http://dbpedia.org/resource/Bristol","Joanna Sawyer"
"","","","Joanne Leedom-Ackerman"
"","","Tower Hamlets, London, England","Jobeda Ali"
"","","http://dbpedia.org/resource/United_States","Joe Kovacs (puppeteer)"
"682778427","47768018","","Joe Magliocca"
"","","","Joe Mettle"
"","","http://dbpedia.org/resource/England","Joe Moore (musician)"
"","","http://dbpedia.org/resource/Homestead,_Florida","Joe Pace (musician)"
"","","","Joe Stevens"
