"Country","Currency","Currency Code"
"Taiwan","New Taiwan Dollar","TWD"
"Tajikistan","Somoni","TJS"
"Tanzania","Tanzanian Shilling","TZS"
"Thailand","Baht","THB"
"The Bahamas","Bahamian Dollar","BSD"
"The Gambia","Dalasi","GMD"
"Togo","CFA Franc BCEAO","XOF"
"Tokelau","New Zealand Dollar","NZD"
"Tonga","Pa'anga","TOP"
"Trinidad and Tobago","Trinidad and Tobago Dollar","TTD"
"Tunisia","Tunisian Dinar","TND"
"Turkey","Turkish Lira","TRL"
"Turkmenistan","Manat","TMM"
"Turks and Caicos Islands","US Dollar","USD"
"Tuvalu","Australian Dollar","AUD"
