"region","college name","city","state","total enrollment","posters"
"middle atlantic","pennsylvania state university","university park","pa","37694","200"
"NULL","temple university","philadelphia","pa","34939","190"
"NULL","rutgers university","new brunswick","nj","33124","190"
"NULL","university of maryland-college park","college park","md","32441","190"
"NULL","new york university","new york","ny","30469","190"
"NULL","university of pittsburgh","pittsburgh","pa","27528","180"
"NULL","state university of new york at buffalo","buffalo","ny","25635","175"
"NULL","university of pennsylvania","philadelphia","pa","22469","160"
"NULL","columbia university-columbia college","new york","ny","19139","150"
"NULL","cornell university","ithaca","ny","18449","150"
"NULL","city university of new york-hunter college","new york","ny","18390","150"
"NULL","saint john's university","jamaica","ny","18216","150"
"NULL","university of delaware","newark","de","18015","150"
"NULL","city university of new york-queens college","flushing","ny","17761","140"
"NULL","state university of new york stony brook","stony brook","ny","17205","140"
"NULL","state university of new york at albany","albany","ny","17070","140"
"NULL","university of the state of new york- regents college","albany","ny","15300","130"
"NULL","pace university","new york","ny","14908","130"
"NULL","george washington university","washington","dc","14853","130"
"NULL","city university of new york-city college","new york","ny","14832","130"
"NULL","city university of new york-baruch college","new york","ny","14794","130"
"NULL","syracuse university","syracuse","ny","14743","130"
"NULL","towson state university","towson","md","14696","130"
"NULL","fordham university","bronx","ny","14611","130"
"NULL","indiana university of pennsylvania","indiana","pa","14062","130"
"NULL","city university of new york-brooklyn college","new york","ny","14053","130"
"NULL","montclair state university","upper montclair","nj","13203","120"
"NULL","city university of new york-college of staten island","staten island","ny","13050","120"
"NULL","georgetown university","washington","dc","12321","120"
"NULL","rochester institiute of technology","rochester","ny","12211","120"
"NULL","the fashion institute of technology","new york city","ny","12193","120"
"NULL","state university of new york at binghamton","binghamton","ny","11997","110"
"NULL","kean college of new jersey","union","nj","11871","110"
"NULL","hofstra university","hempstead","ny","11800","110"
"NULL","state university of new york college at buffalo","buffalo","ny","11527","110"
"NULL","west chester university of pennsylvania","west chester","pa","11265","110"
"NULL","rowan college of new jersey","glassboro","nj","10803","110"
"NULL","city university of new york-technical college","brooklyn","ny","10786","110"
"NULL","university of maryland-baltimore county","baltimore","md","10667","110"
"NULL","university of the district of columbia","washington","dc","10608","110"
"NULL","howard university","washington","dc","10538","110"
"NULL","city university of new york- lehman college","bronx","ny","10352","110"
"NULL","drexel university","philadelphia","pa","10172","110"
"NULL","villanova university","villanova","pa","10142","110"
"NULL","seton hall university","south orange","nj","9938","100"
"NULL","touro college","new york","ny","9561","100"
"NULL","fairleigh dickinson university","teaneck","nj","9069","100"
"NULL","state university of new york at oswego","oswego","ny","9042","100"
"NULL","city university of new york-john jay college of criminal","new york","ny","9017","100"
"NULL","state university of new york college at brockport","brockport","ny","9006","100"
"NULL","william patterson college of new jersey","wayne","nj","8961","90"
"NULL","american university","washington","dc","8694","90"
"NULL","duquesne university","pittsburgh","pa","8624","90"
"NULL","university of rochester","rochester","ny","8401","90"
"NULL","adelphi university","garden city","ny","8194","90"
"NULL","new york institute of technology- old westbury","old westbury","ny","8169","90"
"NULL","long island university- c.w. post campus","brookville","ny","8110","90"
"NULL","fairleigh dickinson univesity-madison","madison","nj","7963","80"
