"&nbsp;mehzabeen","&nbsp;27","&nbsp;(21)"
"&nbsp;mission chief","&nbsp;103","&nbsp;(105)"
"&nbsp;ocean dancer","&nbsp;20","&nbsp;(15)"
"&nbsp;perserverance","&nbsp;41","&nbsp;(43)"
"&nbsp;petaloid","&nbsp;41","&nbsp;(38)"
"&nbsp;pine valley","&nbsp;36","&nbsp;(38)"
"&nbsp;promised glory","&nbsp;18","&nbsp;(17)"
"&nbsp;regal bearing","&nbsp;35","&nbsp;(27)"
"&nbsp;roman centurion","&nbsp;22","&nbsp;(24)"
"&nbsp;romantic impact","&nbsp;101","&nbsp;(95)"
"&nbsp;samarkhand","&nbsp;96","&nbsp;(96)"
"&nbsp;samba dancer","&nbsp;5","&nbsp;(6)"
"&nbsp;sartaj","&nbsp;27","&nbsp;(29)"
"&nbsp;secret attack","&nbsp;12","&nbsp;(13)"
"&nbsp;secret fire","&nbsp;84","&nbsp;(86)"
"&nbsp;songstress","&nbsp;32","&nbsp;(34)"
"&nbsp;star impact","&nbsp;87","&nbsp;(87)"
"&nbsp;stormette","&nbsp;54","&nbsp;(42)"
"&nbsp;successful","&nbsp;23","&nbsp;(24)"
"&nbsp;sugar 'n' salt","&nbsp;11","&nbsp;(9)"
"&nbsp;sun dancer","&nbsp;11","&nbsp;(11)"
"&nbsp;vence","&nbsp;30","&nbsp;(30)"
"&nbsp;vignet","&nbsp;31","&nbsp;(33)"
"&nbsp;viking valor","&nbsp;12","&nbsp;(12)"
"&nbsp;zakiyah","&nbsp;18","&nbsp;(20)"
