"Company","{Symbol|}","Industry","{Date Added|}"
"3M","MMM","Diversified industrials","8/9/1976"
"Alcoa","AA","Aluminum","6/1/1959"
"American Express","AXP","Consumer finance","8/30/1982"
"AT&amp;T","T","Telecommunication","11/1/1999"
"Bank of America","BAC","Institutional and retail banking","2/19/2008"
"Boeing","BA","Aerospace &amp; defense","3/12/1987"
"Caterpillar","CAT","Construction and mining equipment","5/6/1991"
"Chevron Corporation","CVX","Oil and gas","2/19/2008"
"Citigroup","C","Banking","3/17/1997"
"Coca-Cola","KO","Beverages","3/12/1987"
"DuPont","DD","Commodity chemicals","11/20/1935"
"ExxonMobil","XOM","Integrated oil &amp; gas","10/1/1928"
"General Electric","GE","Conglomerate","11/7/1907"
"{General Motors|}","GM","Automobiles","8/31/1925"
"Hewlett-Packard","HPQ","Diversified computer systems","3/17/1997"
"The Home Depot","HD","Home improvement retailers","11/1/1999"
"Intel","INTC","Semiconductors","11/1/1999"
"IBM","IBM","Computer services","6/29/1979"
"Johnson &amp; Johnson","JNJ","Pharmaceuticals","3/17/1997"
"JPMorgan Chase","JPM","Banking","5/6/1991"
"Kraft Foods","KFT","Food processing","9/22/2008"
"McDonald&#8217;s","MCD","Restaurants &amp; bars","10/30/1985"
"Merck","MRK","Pharmaceuticals","6/29/1979"
"Microsoft","MSFT","Software","11/1/1999"
"Pfizer","PFE","Pharmaceuticals","4/8/2004"
"Procter &amp; Gamble","PG","Non-durable household products","5/26/1932"
"United Technologies Corporation","UTX","Aerospace heating/cooling elevators","3/14/1939"
"Verizon Communications","VZ","Telecommunication","4/8/2004"
"Wal-Mart","WMT","Broadline retailers","3/17/1997"
