"Geburtsdatum","birth place","Geburtsort","label"
"1987-06-16","http://dbpedia.org/resource/Saskatchewan","http://dbpedia.org/resource/Saskatchewan","Evan Neufeldt"
"","Calgary","http://dbpedia.org/resource/Calgary","Evan Woolley"
"1991-11-26","","","Evana Manandhar"
"1964","","","Ewa Kupiec"
"","http://dbpedia.org/resource/Nice","http://dbpedia.org/resource/Nice","Fabio Quartararo"
"1992-02-02","http://dbpedia.org/resource/Guatemala","http://dbpedia.org/resource/Guatemala","Fabiola Aburto"
"1972-12-22","http://dbpedia.org/resource/Bangladesh","http://dbpedia.org/resource/Bangladesh","Fahimul Anam"
"","http://dbpedia.org/resource/Rotorua","http://dbpedia.org/resource/Rotorua","Faith Van Duin"
"1981","","http://dbpedia.org/resource/Senegal","Fatima Al Qadiri"
"","http://dbpedia.org/resource/Malatya","http://dbpedia.org/resource/Malatya","Fatma Güldemet Sarı"
"","Australia","","Favel Parrett"
"","http://dbpedia.org/resource/Sivas","http://dbpedia.org/resource/Sivas","Feridun Bilgin"
"","","http://dbpedia.org/resource/Rio_de_Janeiro","Fernanda Brum"
"","","http://dbpedia.org/resource/Milan","Fernando Carcupino"
