"Wikipage page ID","Wikipage revision ID","distributor","label","colour","Link from a Wikipage to an external page"
"46627027","662806356","http://dbpedia.org/resource/Pernod_Ricard","100 Pipers","Brown","http://pernod-ricard.com/217/brands/see-all-brands/local-brands/100-pipers"
"46768085","680847311","","Black Bull (Scotch Whisky)","","http://www.blackbullwhisky.com"
"45658678","682261251","","Bomb Energy Drink","","http://www.drinkbomb.com"
"46634688","675779172","","Green mango chutney","","http://www.goodfood.com.au/"
"46940783","669313831","Kerrygold Irish Cream Liqueur Limited.","Kerrygold Irish Cream Liqueur","","http://kerrygoldirishcream.com"
"47721335","681317068","","McDowell's No.1 Celebration","","http://unitedspirits.in/rum-brands.aspx"
"46973868","667584421","","Rhum Vieux Labbé","","http://berlingsa.com"
"45669533","661620661","","Vodka O","","http://www.vodkao.com"
"47673741","683034027","","Winery Balar AD","","http://www.wines-balar.com/"
"46515817","659119550","","Wodka Gorbatschow","","http://www.wodka-gorbatschow.de/"
"45296201","658098817","","Fairlife","","http://fairlife.com/"
"47238702","681426644","","Mana (drink)","","http://mymana.eu/"
"47228885","679300973","","Mr Sherick's Shakes","","http://www.mrshericksshakes.co.uk/"
"45413717","671645862","","Nobó","","http://nobo.ie/"
"45373795","655371882","","Rogue Beard Beer","","http://www.rogue.com/rogue_beer/beard-beer/"
"47197831","679698445","","SIA Scotch Whisky","","http://www.siascotch.com"
"45473119","667177831","","The Bitter Truth","","http://www.the-bitter-truth.com/"
"47496185","683326784","","Boeber","",""
"47414167","682313588","","Desi daru","White and Brown","http://www.firstpost.com/mumbai/photos-truck-carrying-desi-daru-overturns-in-mumbai-1473607.html?photoid=2"
"47176415","672148030","","Efo riro","",""
