"label","Wikipage page ID","Wikipage revision ID"
"2015 Grand Prix Cycliste de Québec","45685555","680958114"
"Adrian Timmis","",""
"Alan Aguerre","",""
"Alan Beards","",""
"Alec Torelli","",""
"Aleksander Bosak","",""
"Aleksi Toivonen","",""
"Aliko Bala","",""
"Amanda Zahui B.","",""
"Andrew D’Souza","",""
"Andrew Robl","",""
"Andy Wilmot","",""
"Antonio Raillo","",""
"B. J. McLeod","",""
"BJ Norris","46959376","667130191"
"Baadshah Pehalwan Khan","",""
"Barrett Martineau","",""
"Ben McIntosh","",""
"Blair Tugman","",""
"Brazilian Wrestling Federation","46733107","681837226"
