"country name(click for destination guides)","capital city","geographic info(click for info)"
"bahamasthe","nassau","geography of the bahamas"
"bahrain","manama","geography of bahrain"
"bakerisland","none","geography of baker island"
"bangladesh","dhaka","geography of bangladesh"
"barbados","bridgetown","geography of barbados"
"bassasda india","none","geography of bassas daindia"
"belarus","minsk","geography of belarus"
"belgium","brussels","geography of belgium"
"belize","belmopan","geography of belize"
"benin","porto-novo (official capital)cotonou (seat of government)","geography of benin"
"bermuda","hamilton","geography of bermuda"
"bhutan","thimphu","geography of bhutan"
"bolivia","la paz (seat of government); sucre (legal capital and seat of judiciary)","geography of bolivia"
"bosniaandherzegovina","sarajevo","geography of bosnia&amp; herzegovina"
"botswana","gaborone","geography of botswana"
"bouvetisland","none","geography of bouvet island"
"brazil","brasilia","geography of brazil"
"britishvirgin islands","road town","geography of britishvirgin islands"
"britishindian ocean territory","none","geographyof british indian ocean territory"
"brunei","bandar seri begawan","geography of brunei"
"bulgaria","sofia","geography of bulgaria"
"burkinafaso","ouagadougou","geography of burkina faso"
"burma or myanmar","rangoon(regime refers to the capital as yangon)","geography of burma ormyanmar"
"burundi","bujumbura","geography of burundi"
